iso3,year,MA
WSM,2020,31367253.039837915
GNQ,2020,68058609.03809676
GHA,2020,71836075.54189898
PER,2020,47144436.738040015
PRK,2020,437559964.2780305
ARG,2020,39455009.292722166
BFA,2020,75185835.56228101
COM,2020,45976239.00057587
IDN,2020,64883737.02813004
PNG,2020,46347413.84813707
CAF,2020,62700902.0721685
BOL,2020,46728326.9230542
GIN,2020,63138748.45469248
COL,2020,67714038.60627821
FRA,2020,406824047.16800135
STP,2020,62770894.29551877
CUB,2020,114921387.08236638
GEO,2020,143694173.96488914
IND,2020,79499372.38559923
BMU,2020,110582775.4985669
TCD,2020,72299446.81592607
PHL,2020,109617190.23206767
SWZ,2020,46996256.061752036
CAN,2020,139633389.9774499
PRY,2020,49908287.51277527
KWT,2020,136400309.58872157
SYR,2020,183467736.93892378
NZL,2020,27903753.306872338
SEN,2020,65631254.866037756
BGD,2020,119721400.01058611
LKA,2020,79921275.68448502
TJK,2020,115310747.7409895
GUY,2020,60347777.13057251
BGR,2020,238435402.962003
ZAF,2020,33632381.73233472
FJI,2020,32216175.868864514
LBN,2020,237689145.594084
SLV,2020,114399988.5457149
NGA,2020,63853139.30390152
TCA,2020,108490690.12980512
GBR,2020,392424350.27163285
DJI,2020,78122344.80668879
MYS,2020,102543690.18145877
NLD,2021,982600209.3631673
SUR,2021,64469679.1557279
EST,2021,302888871.37197614
SDN,2021,91924210.54412335
NER,2021,91475635.5329824
HND,2021,121932292.56163865
IRN,2021,137082944.466239
BTN,2021,169156248.30545825
VUT,2021,40451047.12609327
JPN,2021,164820631.7989991
CMR,2021,77696266.80380695
SWE,2021,345744556.2169553
BIH,2021,426693099.7063534
GIB,2021,244723541.3575245
GNB,2021,74441921.24165396
NOR,2021,319908917.4358114
POL,2021,431902534.4763899
ZMB,2021,52232452.28470324
GRC,2021,228803589.9949822
THA,2021,129617475.229916
RUS,2021,128566992.964477
TUR,2021,181886940.37441194
ISR,2021,200368493.83636886
MNG,2021,188700390.68302852
ATG,2021,90140150.7769001
TON,2021,34670107.7108946
TGO,2021,96687132.6879805
USA,2021,46681328.38079961
KAZ,2021,119768979.76088382
ZWE,2021,50623812.21926971
BEN,2021,98244911.52499804
GRD,2021,84886618.47345102
GRL,2021,111391739.55482095
ALB,2021,316750689.18519706
LBR,2021,69282197.50537273
CHE,2021,703629674.1315088
KGZ,2021,129037883.5339979
MEX,2021,120037815.41308232
TUN,2021,249578471.0480994
VGB,2021,119241409.9031421
AZE,2021,152334020.3850842
GMB,2021,79393108.17970958
SLB,2021,45913944.689645424
MUS,2021,44888879.98915715
CZE,2021,664694971.5790724
UZB,2021,126206411.0082939
TZA,2021,59604313.315963745
PRT,2021,219920736.83074605
MHL,2021,50327913.19448347
SOM,2021,71036231.8436994
VCT,2021,84925118.79816814
SVN,2021,615281232.4702556
KIR,2021,44490034.59647919
LAO,2021,166410616.62832832
CIV,2021,73172753.58178669
MLI,2021,80000516.4422753
HUN,2021,474791598.4796537
IRL,2021,453569514.7750987
MRT,2021,82405342.72423723
HRV,2021,511327850.5618946
MDG,2021,46051281.58552471
BEL,2021,1131320294.297755
BRB,2021,79701814.91272531
LCA,2021,84264551.84376577
SAU,2021,113482864.56019653
JOR,2021,418343872.4274236
SGP,2021,115642429.71249709
ECU,2021,69026218.74482708
YEM,2021,98573268.71463767
UKR,2021,214737515.34812427
ISL,2021,150706414.63980168
CHL,2021,42631942.25262757
NRU,2021,46831562.550839916
ARM,2021,168007927.0431643
BWA,2021,52686932.73836574
TUV,2021,39415565.01251178
BLZ,2021,130777591.16685967
MMR,2021,145602616.5981259
PAN,2021,93947990.83153571
AND,2021,469554501.0458143
AGO,2021,52338416.342460774
ERI,2021,100623344.78705168
AUT,2021,589928468.1682231
FIN,2021,244033067.4265893
KHM,2021,159172762.08640578
BHR,2021,231360878.91637897
CPV,2021,71563190.25333849
DZA,2021,238607412.352448
NCL,2021,40182993.038208544
AUS,2021,32936756.28889083
RWA,2021,66520703.57411695
FSM,2021,63471477.79975282
KNA,2021,80272883.05889893
GTM,2021,118146991.96376657
LSO,2021,60347916.63965536
ETH,2021,79939810.7288144
AFG,2021,132858276.58211182
COG,2021,60489315.93278256
MWI,2021,52444596.286119476
CYM,2021,121871941.30780649
MLT,2021,242382050.79510015
MKD,2021,310390154.96777296
JAM,2021,111985603.92736201
LUX,2021,1115641264.7696438
EGY,2021,168079514.42073277
DNK,2021,550991691.4389064
NAM,2021,45879750.854417324
DOM,2021,107127620.81011574
DMA,2021,86288540.93799457
CHN,2021,95552271.73681459
LVA,2021,326240187.94970846
MNP,2021,89539587.9206228
OMN,2021,146504740.38030812
PAK,2021,130767531.04496196
LBY,2021,174726214.64909425
FRO,2021,229451999.37143338
MAR,2021,173889484.9882952
SLE,2021,71487602.33136132
DEU,2021,514253691.9989425
BDI,2021,66395757.45373725
PLW,2021,87258937.03745803
HKG,2021,211387951.69709057
CYP,2021,229989800.32698923
ESP,2021,245009102.90025556
CRI,2021,96867515.126578
MDV,2021,78949712.34771736
SYC,2021,58630401.39565916
TKM,2021,132163929.52737334
MDA,2021,262749658.27800733
TTO,2021,75837091.64020789
VNM,2021,140446787.45165235
PRI,2021,96972823.34096232
NIC,2021,110968295.44087678
HTI,2021,118213093.729833
QAT,2021,175649464.06641054
ARE,2021,136202342.31340912
KOR,2021,352106534.01880753
VEN,2021,83290554.54350756
NPL,2021,155993745.87534934
MOZ,2021,48153388.045628525
UGA,2021,69227136.72698805
BHS,2021,139895952.69760978
ITA,2021,341247591.563444
BRN,2021,110294057.26667398
PYF,2021,33642823.293457985
SVK,2021,538852340.6784871
URY,2021,62967463.91474676
KEN,2021,64687320.283324555
GAB,2021,67905616.42386234
MAC,2021,0.0
BRA,2021,40582703.984255984
BLR,2021,281511991.72228587
SMR,2021,613423046.8413304
ABW,2021,91976418.17105454
IRQ,2021,157961527.48674855
LTU,2021,341215529.4610719
WSM,2021,35660236.42757316
GNQ,2021,76844250.04524615
GHA,2021,80831418.1927059
PER,2021,53358515.10612881
PRK,2021,498910347.8506622
ARG,2021,44988043.27752678
BFA,2021,85021627.87863754
COM,2021,52813718.52248046
IDN,2021,74782770.36136445
PNG,2021,52890183.852701224
CAF,2021,71537771.00721475
BOL,2021,53212865.1409946
GIN,2021,71620718.51566863
COL,2021,75848704.67210847
FRA,2021,461696602.11890763
STP,2021,71100636.22261158
CUB,2021,129446495.45474236
GEO,2021,167025360.77508292
IND,2021,91742039.02724257
BMU,2021,124029096.6212512
TCD,2021,82275583.72276524
PHL,2021,125961459.4263404
SWZ,2021,54982656.24774666
CAN,2021,155948710.06604794
PRY,2021,57391955.73855434
KWT,2021,161425861.32275605
SYR,2021,210623164.89186192
NZL,2021,31891650.24977568
SEN,2021,74560642.61830369
BGD,2021,138588592.02786076
LKA,2021,92501523.34628874
TJK,2021,133870773.312504
GUY,2021,68042275.95783845
BGR,2021,272276252.1716996
ZAF,2021,38526527.84402844
FJI,2021,36715205.18213511
LBN,2021,276643356.7032503
SLV,2021,127921284.00650907
NGA,2021,73028498.49954057
TCA,2021,120691344.48188029
GBR,2021,445235363.75705445
DJI,2021,90355879.43627788
MYS,2021,118567824.29717079
NLD,2022,965094575.2118706
SUR,2022,69394040.67823312
EST,2022,304533893.0317296
SDN,2022,97641994.26154019
NER,2022,94822518.07166055
HND,2022,132259373.8915982
IRN,2022,148768740.93423557
BTN,2022,175842981.6598778
VUT,2022,41670215.03322426
JPN,2022,165363026.4424346
CMR,2022,81369357.95947862
SWE,2022,349942213.11151356
BIH,2022,425298171.494856
GIB,2022,245062407.669119
GNB,2022,77339021.08743057
NOR,2022,317167978.08347356
POL,2022,429747156.780318
ZMB,2022,54942557.91641228
GRC,2022,234384626.54614356
THA,2022,133704987.14029804
RUS,2022,130743312.99614553
TUR,2022,187983327.23834497
ISR,2022,213770898.2771725
MNG,2022,190044136.9778782
ATG,2022,96889980.71664312
TON,2022,35949060.706707686
TGO,2022,99971511.90146382
