country,ISO_A3,spei,date
Russia,RUS,0.1489951,2019-01-16
Rwanda,RWA,-0.0013662458,2019-01-16
Saint Vincent and the Grenadines,VCT,-1.5584279,2019-01-16
Samoa,WSM,0.33818305,2019-01-16
Saudi Arabia,SAU,0.42364115,2019-01-16
Senegal,SEN,-0.9770819,2019-01-16
Siachen Glacier,SIA,1.858379,2019-01-16
Sierra Leone,SLE,-0.36724487,2019-01-16
Slovakia,SVK,-0.36569637,2019-01-16
Slovenia,SVN,-1.119756,2019-01-16
Solomon Islands,SLB,0.07206629,2019-01-16
Somalia,SOM,0.18665783,2019-01-16
Somaliland,SOL,-0.18083224,2019-01-16
South Africa,ZAF,-1.810701,2019-01-16
South Georgia and the Islands,SGS,-1.8647346,2019-01-16
South Korea,KOR,-0.64104307,2019-01-16
South Sudan,SSD,-0.4472534,2019-01-16
Spain,ESP,-0.44695657,2019-01-16
Sri Lanka,LKA,-0.91295534,2019-01-16
Sudan,SDN,-0.71291333,2019-01-16
Suriname,SUR,-0.826028,2019-01-16
Sweden,SWE,-0.1838066,2019-01-16
Switzerland,CHE,0.06787978,2019-01-16
Syria,SYR,1.2708364,2019-01-16
Taiwan,TWN,0.2390584,2019-01-16
Tajikistan,TJK,0.6749116,2019-01-16
Thailand,THA,0.1550091,2019-01-16
The Bahamas,BHS,-0.32459232,2019-01-16
Togo,TGO,-1.535069,2019-01-16
Trinidad and Tobago,TTO,-2.416236,2019-01-16
Tunisia,TUN,-0.8502675,2019-01-16
Turkey,TUR,1.3380558,2019-01-16
Turkmenistan,TKM,0.22854963,2019-01-16
Uganda,UGA,0.29417518,2019-01-16
Ukraine,UKR,0.8572409,2019-01-16
United Arab Emirates,ARE,0.013769458,2019-01-16
United Kingdom,GBR,-0.5689841,2019-01-16
United Republic of Tanzania,TZA,0.07342777,2019-01-16
United States Virgin Islands,VIR,-0.19498008,2019-01-16
United States of America,USA,0.6899689,2019-01-16
Uruguay,URY,2.219555,2019-01-16
Uzbekistan,UZB,0.46338657,2019-01-16
Vanuatu,VUT,-0.021929296,2019-01-16
Venezuela,VEN,-0.62917995,2019-01-16
Vietnam,VNM,0.24423957,2019-01-16
Western Sahara,ESH,-0.37241307,2019-01-16
Yemen,YEM,-1.061428,2019-01-16
Zambia,ZMB,0.20863771,2019-01-16
Zimbabwe,ZWE,0.1553532,2019-01-16
eSwatini,SWZ,-1.9552495,2019-01-16
Afghanistan,AFG,0.16538179,2019-02-15
Aland,ALA,0.28004837,2019-02-15
Albania,ALB,-0.47016254,2019-02-15
Algeria,DZA,-1.2537508,2019-02-15
Angola,AGO,0.07559092,2019-02-15
Argentina,ARG,-0.14190923,2019-02-15
Armenia,ARM,1.6398523,2019-02-15
Australia,AUS,-1.048422,2019-02-15
Austria,AUT,0.5178075,2019-02-15
Azerbaijan,AZE,0.74617064,2019-02-15
Bangladesh,BGD,1.1792088,2019-02-15
Belarus,BLR,0.2755166,2019-02-15
Belgium,BEL,0.011934126,2019-02-15
Belize,BLZ,-0.7078858,2019-02-15
Benin,BEN,-0.6726852,2019-02-15
Bhutan,BTN,0.9822577,2019-02-15
Bolivia,BOL,-0.45051655,2019-02-15
Bosnia and Herzegovina,BIH,-1.0426068,2019-02-15
Botswana,BWA,-0.32629177,2019-02-15
Brazil,BRA,-0.30097842,2019-02-15
Brunei,BRN,-0.9942771,2019-02-15
Bulgaria,BGR,-0.30531394,2019-02-15
Burkina Faso,BFA,-0.89592314,2019-02-15
Burundi,BDI,-0.036204435,2019-02-15
Cabo Verde,CPV,-0.50758356,2019-02-15
Cambodia,KHM,-0.33121607,2019-02-15
Cameroon,CMR,0.12727046,2019-02-15
Canada,CAN,0.32862702,2019-02-15
Central African Republic,CAF,-0.79600614,2019-02-15
Chad,TCD,-1.1018106,2019-02-15
Chile,CHL,-0.6254133,2019-02-15
China,CHN,0.18078808,2019-02-15
Colombia,COL,-1.0076214,2019-02-15
Comoros,COM,-0.8755826,2019-02-15
Costa Rica,CRI,-0.5823756,2019-02-15
Croatia,HRV,-1.2906017,2019-02-15
Cuba,CUB,-0.18816328,2019-02-15
Cyprus,CYP,1.5948972,2019-02-15
Czechia,CZE,0.1154935,2019-02-15
Democratic Republic of the Congo,COD,0.095151186,2019-02-15
Denmark,DNK,0.02804983,2019-02-15
Djibouti,DJI,-0.9962245,2019-02-15
Dominican Republic,DOM,-0.75978637,2019-02-15
East Timor,TLS,-2.233224,2019-02-15
Ecuador,ECU,0.5172599,2019-02-15
Egypt,EGY,-0.23068024,2019-02-15
El Salvador,SLV,-1.1076462,2019-02-15
Equatorial Guinea,GNQ,-0.52142924,2019-02-15
Eritrea,ERI,-0.79744947,2019-02-15
Estonia,EST,0.5443364,2019-02-15
Ethiopia,ETH,-0.7854059,2019-02-15
Falkland Islands,FLK,-0.41971844,2019-02-15
Faroe Islands,FRO,-0.14996319,2019-02-15
Fiji,FJI,-0.87695754,2019-02-15
Finland,FIN,0.78088164,2019-02-15
France,FRA,-0.9086028,2019-02-15
French Polynesia,PYF,0.09583926,2019-02-15
French Southern and Antarctic Lands,ATF,1.193893,2019-02-15
Gabon,GAB,0.17160751,2019-02-15
Gambia,GMB,-1.2544765,2019-02-15
Georgia,GEO,0.30207598,2019-02-15
Germany,DEU,0.17633824,2019-02-15
Ghana,GHA,-0.8538937,2019-02-15
Greece,GRC,0.29170033,2019-02-15
Greenland,GRL,0.46528652,2019-02-15
Guatemala,GTM,-0.652537,2019-02-15
Guinea,GIN,-0.56920105,2019-02-15
Guinea-Bissau,GNB,-1.0288124,2019-02-15
Guyana,GUY,-1.2697829,2019-02-15
Haiti,HTI,-1.48192,2019-02-15
Honduras,HND,-0.71620417,2019-02-15
Hungary,HUN,-0.82422334,2019-02-15
Iceland,ISL,0.85344106,2019-02-15
India,IND,0.34374827,2019-02-15
Indonesia,IDN,-0.25214997,2019-02-15
Iran,IRN,-0.042322237,2019-02-15
Iraq,IRQ,-0.15673073,2019-02-15
Ireland,IRL,-0.24225731,2019-02-15
Israel,ISR,0.8548709,2019-02-15
Italy,ITA,-1.0528588,2019-02-15
Ivory Coast,CIV,-0.5452693,2019-02-15
Jamaica,JAM,-0.3825291,2019-02-15
Japan,JPN,-0.95954806,2019-02-15
Jordan,JOR,0.9828677,2019-02-15
Kazakhstan,KAZ,-0.35631996,2019-02-15
Kenya,KEN,0.7116749,2019-02-15
Kosovo,XKX,-0.60296124,2019-02-15
