country,iso3,spei,spei_date,year,month,spei_lag1,spei_lag2,spei_lag3
Cabo Verde,CPV,-0.40014565,2019-01-16,2019,1,-0.039520983,0.04914594,-0.02046964
Cambodia,KHM,-0.35742763,2019-01-16,2019,1,-0.8311942,-1.1079047,-0.77746415
Cameroon,CMR,0.0012856253,2019-01-16,2019,1,-0.58714634,-1.1715748,-1.0291281
Canada,CAN,0.36701372,2019-01-16,2019,1,0.20787428,0.42755792,0.30950654
Cayman Islands,CYM,,2019-01-16,2019,1,,,
Central African Republic,CAF,-0.4425374,2019-01-16,2019,1,-0.28681776,-0.7024217,-0.78262305
Chad,TCD,-0.4856645,2019-01-16,2019,1,-0.007377781,-0.4432866,-0.40548125
Chile,CHL,-0.3061873,2019-01-16,2019,1,0.053984735,0.30381653,-0.10073736
China,CHN,0.2970199,2019-01-16,2019,1,-0.1464321,0.038958535,0.32065314
Colombia,COL,-0.8541299,2019-01-16,2019,1,-0.6717622,0.010970891,-0.10677566
Comoros,COM,-0.6904536,2019-01-16,2019,1,-0.9904455,-0.94490725,-0.6285203
Costa Rica,CRI,-0.6310586,2019-01-16,2019,1,-0.1743319,-0.033549644,0.31446436
Croatia,HRV,-1.0436542,2019-01-16,2019,1,-1.3780793,-1.2365433,-1.4222242
Cuba,CUB,-0.49769983,2019-01-16,2019,1,-0.74008375,-1.0316366,-0.993035
Cyprus,CYP,1.5762076,2019-01-16,2019,1,1.188148,-0.03702037,-0.117405996
Czechia,CZE,0.28035554,2019-01-16,2019,1,-0.9851965,-1.4821149,-1.810728
Democratic Republic of the Congo,COD,0.12155283,2019-01-16,2019,1,0.12858376,-0.056324746,-0.079606935
Denmark,DNK,-0.7863284,2019-01-16,2019,1,-1.1056811,-1.7233484,-1.1362858
Djibouti,DJI,-0.67593473,2019-01-16,2019,1,-0.21134594,-0.038969908,-0.07313796
Dominican Republic,DOM,-1.2693185,2019-01-16,2019,1,-1.4569397,-1.154045,-1.6169012
East Timor,TLS,-1.4723969,2019-01-16,2019,1,-0.36105704,-0.20434736,-0.33011082
Ecuador,ECU,0.5699204,2019-01-16,2019,1,0.06560059,-0.42258495,-0.4631911
Egypt,EGY,-0.27481702,2019-01-16,2019,1,-0.45805928,-0.8350442,-1.3278815
El Salvador,SLV,-1.3473574,2019-01-16,2019,1,-0.10368756,-0.4380581,-0.22524107
Equatorial Guinea,GNQ,0.38556275,2019-01-16,2019,1,-1.0210814,-0.28834516,-0.79487014
Eritrea,ERI,-0.40492567,2019-01-16,2019,1,0.17580338,0.38727328,0.5033939
Estonia,EST,-0.651818,2019-01-16,2019,1,-0.99418616,-0.620113,-0.23004714
Ethiopia,ETH,-0.17721514,2019-01-16,2019,1,0.09835262,0.09297288,0.08950311
Falkland Islands,FLK,-1.0266868,2019-01-16,2019,1,-0.79594946,0.28091896,0.54242074
Faroe Islands,FRO,-0.37071964,2019-01-16,2019,1,-0.23345853,-0.0608458,-0.02904862
Fiji,FJI,-0.04864553,2019-01-16,2019,1,-0.04833042,0.4076277,-0.23704153
Finland,FIN,-0.4958804,2019-01-16,2019,1,-1.0272682,-0.6649763,-0.21059254
France,-99,-0.30680633,2019-01-16,2019,1,0.06433883,1.4841563,-0.0031997317
French Polynesia,PYF,-0.56714064,2019-01-16,2019,1,-2.2288346,-1.8564146,-1.597782
French Southern and Antarctic Lands,ATF,-1.2233441,2019-01-16,2019,1,-2.7352066,0.36740676,1.9220629
Gabon,GAB,0.40726104,2019-01-16,2019,1,-1.082304,-0.607004,-0.95022047
Gambia,GMB,-1.3441417,2019-01-16,2019,1,0.1324229,0.73762417,-0.33173683
Georgia,GEO,-0.08914985,2019-01-16,2019,1,-0.0962592,-0.8676534,-0.48886314
Germany,DEU,-0.089692086,2019-01-16,2019,1,-1.1924027,-2.2743928,-2.1079404
Ghana,GHA,-1.4353242,2019-01-16,2019,1,-0.017109318,0.42310384,0.9968096
Greece,GRC,0.51346415,2019-01-16,2019,1,-1.2572261,-0.694122,-0.5156806
Greenland,GRL,0.61293995,2019-01-16,2019,1,0.4682701,0.38850075,0.24871962
