origin,destination,dist_od
ABW,NCL,9.546381801527641
ABW,NER,8.996966813473035
ABW,NFK,9.531247817546442
ABW,NGA,9.020358590433153
ABW,NIC,7.473694460627804
ABW,NIU,9.34948821278609
ABW,NLD,8.975644094158358
ABW,NOR,9.016545042480589
ABW,NPL,9.602681739287943
ABW,NRU,9.519310732289643
ABW,NZL,9.478771579882716
ABW,OMN,9.478153609940136
ABW,PAK,9.528637727232287
ABW,PAL,9.272569353178383
ABW,PAN,7.065849031812118
ABW,PCN,
ABW,PER,7.910065529450305
ABW,PHL,9.733108993380851
ABW,PLW,9.713618585561315
ABW,PNG,9.675789269160356
ABW,POL,9.091798698626981
ABW,PRI,6.637608428603742
ABW,PRK,9.54647326531269
ABW,PRT,8.798082797209144
ABW,PRY,8.397307471668272
ABW,PYF,9.1445704796789
ABW,QAT,9.426940159493357
ABW,REU,9.558776469636124
ABW,ROM,9.153274765594194
ABW,RUS,9.254479737930188
ABW,RWA,9.318165547862167
ABW,SAU,9.369066568145259
ABW,SDN,9.29906253473696
ABW,SEN,8.653803738575013
ABW,SGP,9.817669826498028
ABW,SHN,8.917775196559468
ABW,SLB,9.588271885724232
ABW,SLE,8.745194843028512
ABW,SLV,7.640582682489181
ABW,SMR,9.042512315146544
ABW,SOM,9.44193372296895
ABW,SPM,8.302888957969165
ABW,STP,9.054626237256691
ABW,SUR,7.488664459221905
ABW,SVK,9.093877227380235
ABW,SVN,9.061567704679913
ABW,SWE,9.057792041035329
ABW,SWZ,9.371674900347776
ABW,SYC,9.545164823172934
ABW,SYR,9.28016303242636
ABW,TCA,6.918861377322241
ABW,TCD,9.141870078207422
ABW,TGO,8.962494208021601
ABW,THA,9.736872008063791
ABW,TJK,9.466424186409578
ABW,TKL,9.348298079001527
ABW,TKM,9.414161644608344
ABW,TMP,9.813283265448018
ABW,TON,9.396965986344643
ABW,TTO,6.867340076710694
ABW,TUN,9.028091132567264
ABW,TUR,9.221687746311485
ABW,TUV,9.436122040397372
ABW,TWN,9.665921748715443
ABW,TZA,9.390684140903144
ABW,UGA,9.336635521028274
ABW,UKR,9.200463253442928
ABW,URY,8.592117530251983
ABW,USA,8.202171713372469
ABW,UZB,9.45013964347999
ABW,VCT,6.860168055988758
ABW,VEN,5.941765244797681
ABW,VGB,6.779287160608533
ABW,VNM,9.742434606782428
ABW,VUT,9.532159343407296
ABW,WLF,9.397311934051917
ABW,WSM,9.359193903797829
ABW,YEM,9.40953461438138
ABW,YUG,9.115714697844387
ABW,ZAF,9.333779382408723
ABW,ZAR,9.220676766910884
ABW,ZMB,9.326857718096502
ABW,ZWE,9.352421362409988
AFG,ABW,9.485421130321692
AFG,AFG,4.502740371626841
AFG,AGO,8.93113083931207
AFG,AIA,9.409470699862931
AFG,ALB,8.353061196922484
AFG,AND,8.649505891736872
AFG,ANT,9.472334567976786
AFG,ARE,7.395658991540349
AFG,ARG,9.637780908536204
AFG,ARM,7.67560214945346
AFG,ATG,9.410190731054431
AFG,AUS,9.307535138467285
AFG,AUT,8.424597304583607
AFG,AZE,7.493522127650335
AFG,BDI,8.672855356944673
AFG,BEL,8.580512907612727
AFG,BEN,8.898820011894514
AFG,BFA,8.916781867066835
AFG,BGD,7.813077678014886
AFG,BGR,8.244328004747977
AFG,BHR,7.558598638492329
AFG,BHS,9.42749160516035
AFG,BIH,8.381882388007524
AFG,BLR,8.230849689345922
AFG,BLZ,9.526101754702559
AFG,BMU,9.313594370483852
AFG,BOL,9.62220760931728
AFG,BRA,9.486457325506029
AFG,BRB,9.42294862137501
AFG,BRN,8.668724214365303
AFG,BTN,7.703386391798183
AFG,BWA,8.966829303845747
AFG,CAF,8.711388969772482
AFG,CAN,9.259922603329947
AFG,CCK,
AFG,CHE,8.542778673572599
AFG,CHL,9.69628009447275
AFG,CHN,8.38251668625769
AFG,CIV,8.994859388063984
AFG,CMR,8.796139064159247
AFG,COG,8.867875837345133
AFG,COK,9.62312198241804
AFG,COL,9.551510840316409
AFG,COM,8.665023884993536
AFG,CPV,9.129254170051844
AFG,CRI,9.565141461345549
AFG,CUB,9.461681022135515
AFG,CXR,
AFG,CYM,9.488531043250461
AFG,CYP,8.058322243277
AFG,CZE,8.419421584784848
