iso3,year,MA
FRO,2019,19.139440021547436
VUT,2019,17.405945737992393
BHR,2019,19.195811446816222
PYF,2019,17.23209823782505
TUR,2019,18.91512667253899
ETH,2019,18.097108206784878
ARM,2019,18.841127372462978
HND,2019,18.546252660377455
KOR,2019,19.537387550190143
TUV,2019,17.38171271078806
LKA,2019,18.22951211814611
ARG,2019,17.56868051241668
PRI,2019,18.313967478211914
DZA,2019,19.200549694455933
WSM,2019,17.28429148449778
STP,2019,18.003551674370485
VGB,2019,18.534524076288267
MAR,2019,18.887679585246456
TUN,2019,19.247586535662723
BWA,2019,17.690914602146055
AFG,2019,18.593380011720406
SYC,2019,17.78271231471784
IRL,2019,19.83304282457854
VNM,2019,18.651380245079938
GIB,2019,19.23298130967878
CAN,2019,18.77192329786024
JPN,2019,18.755227323807947
LBR,2019,17.963708616635984
ERI,2019,18.325517623942247
MKD,2019,19.45314903948488
TGO,2019,18.314690983097815
MDV,2019,18.075788652029598
ZWE,2019,17.648169423643154
CIV,2019,18.02394495012864
KIR,2019,17.50145937550097
PNG,2019,17.669292818461106
MHL,2019,17.624048934646336
ZMB,2019,17.67730404401669
GEO,2019,18.833424965890377
ECU,2019,17.98384692608891
FSM,2019,17.8527929851542
NZL,2019,17.17244068653608
LBN,2019,19.309143608604344
KNA,2019,18.12130714933879
BEL,2019,20.738026925591253
BRA,2019,17.427457016954982
GHA,2019,18.13075226024984
COL,2019,18.073501091702436
RWA,2019,17.91523148790836
BLR,2019,19.342981161754526
CUB,2019,18.590996607970276
URY,2019,17.89598780268115
PLW,2019,18.165717487706857
MLT,2019,19.218131351224205
MRT,2019,18.136187079032762
SDN,2019,18.235369722768606
GRD,2019,18.18841593436534
COG,2019,17.834444861709763
JAM,2019,18.485971031474598
KEN,2019,17.883622725256995
USA,2019,17.567682152918394
SOM,2019,17.976697061265995
DMA,2019,18.201428194996343
GTM,2019,18.513371781403773
GNQ,2019,18.08257732511454
VCT,2019,18.190824755410965
HRV,2019,19.953255109532616
DOM,2019,18.417660359450345
AUT,2019,20.090827697797927
CMR,2019,18.09314595829518
PRY,2019,17.824224469634
QAT,2019,18.91098562629465
GNB,2019,18.0332788856658
CHL,2019,17.50299277773624
KGZ,2019,18.556296639335777
BGD,2019,18.623463717704094
CPV,2019,17.99738960663738
TKM,2019,18.59307836817447
BFA,2019,18.174190597727026
CRI,2019,18.320822548845534
BOL,2019,17.731993158876257
KHM,2019,18.793068292752817
KAZ,2019,18.482189839851983
CAF,2019,17.99625967358124
SLV,2019,18.587754353741758
EGY,2019,18.838697818221117
PAK,2019,18.576628489443845
MDG,2019,17.545571038655478
GAB,2019,17.95464601496025
SGP,2019,18.47432066053245
UKR,2019,19.081242501134007
PRT,2019,19.120469513630397
PER,2019,17.722546151552592
LSO,2019,17.82769062483957
FJI,2019,17.310024002129584
HKG,2019,19.36577101334099
BGR,2019,19.323154574880554
BEN,2019,18.344678871293922
LBY,2019,18.880800835906783
GIN,2019,17.998286238195597
AND,2019,19.878529857178073
TJK,2019,18.599670445904813
SVK,2019,20.000370854711715
NAM,2019,17.552885665843004
ZAF,2019,17.373626297267613
IDN,2019,18.0131570580215
GMB,2019,18.094638273230238
DEU,2019,19.946571676390988
NGA,2019,18.00623968758543
NPL,2019,18.73915120269557
SAU,2019,18.451545893595814
POL,2019,19.777290752527175
