country,ISO_A3,date,spei
Republic of Serbia,SRB,2019-01-16,-0.2798117
Republic of the Congo,COG,2019-01-16,0.5139655
Romania,ROU,2019-01-16,0.949234
Russia,RUS,2019-01-16,0.1489951
Rwanda,RWA,2019-01-16,-0.0013662458
Saint Vincent and the Grenadines,VCT,2019-01-16,-1.5584279
Samoa,WSM,2019-01-16,0.33818305
Saudi Arabia,SAU,2019-01-16,0.42364115
Senegal,SEN,2019-01-16,-0.9770819
Siachen Glacier,-99,2019-01-16,1.858379
Sierra Leone,SLE,2019-01-16,-0.36724487
Slovakia,SVK,2019-01-16,-0.36569637
Slovenia,SVN,2019-01-16,-1.119756
Solomon Islands,SLB,2019-01-16,0.07206629
Somalia,SOM,2019-01-16,0.18665783
Somaliland,-99,2019-01-16,-0.18083224
South Africa,ZAF,2019-01-16,-1.810701
South Georgia and the Islands,SGS,2019-01-16,-1.8647346
South Korea,KOR,2019-01-16,-0.64104307
South Sudan,SSD,2019-01-16,-0.4472534
Spain,ESP,2019-01-16,-0.44695657
Sri Lanka,LKA,2019-01-16,-0.91295534
Sudan,SDN,2019-01-16,-0.71291333
Suriname,SUR,2019-01-16,-0.826028
Sweden,SWE,2019-01-16,-0.1838066
Switzerland,CHE,2019-01-16,0.06787978
Syria,SYR,2019-01-16,1.2708364
Taiwan,TWN,2019-01-16,0.2390584
Tajikistan,TJK,2019-01-16,0.6749116
Thailand,THA,2019-01-16,0.1550091
The Bahamas,BHS,2019-01-16,-0.32459232
Togo,TGO,2019-01-16,-1.535069
Trinidad and Tobago,TTO,2019-01-16,-2.416236
Tunisia,TUN,2019-01-16,-0.8502675
Turkey,TUR,2019-01-16,1.3380558
Turkmenistan,TKM,2019-01-16,0.22854963
Uganda,UGA,2019-01-16,0.29417518
Ukraine,UKR,2019-01-16,0.8572409
United Arab Emirates,ARE,2019-01-16,0.013769458
United Kingdom,GBR,2019-01-16,-0.5689841
United Republic of Tanzania,TZA,2019-01-16,0.07342777
United States Virgin Islands,VIR,2019-01-16,-0.19498008
United States of America,USA,2019-01-16,0.6899689
Uruguay,URY,2019-01-16,2.219555
Uzbekistan,UZB,2019-01-16,0.46338657
Vanuatu,VUT,2019-01-16,-0.021929296
Venezuela,VEN,2019-01-16,-0.62917995
Vietnam,VNM,2019-01-16,0.24423957
Western Sahara,ESH,2019-01-16,-0.37241307
Yemen,YEM,2019-01-16,-1.061428
Zambia,ZMB,2019-01-16,0.20863771
Zimbabwe,ZWE,2019-01-16,0.1553532
eSwatini,SWZ,2019-01-16,-1.9552495
Afghanistan,AFG,2019-02-15,0.16538179
