country,ISO_A3,date,spei
Moldova,MDA,2019-08-16,-1.5449796
Mongolia,MNG,2019-08-16,-0.6870012
Montenegro,MNE,2019-08-16,0.051785257
Morocco,MAR,2019-08-16,-0.6638308
Mozambique,MOZ,2019-08-16,-1.2083498
Myanmar,MMR,2019-08-16,-0.8956005
Namibia,NAM,2019-08-16,-0.73535186
Nepal,NPL,2019-08-16,-0.3866748
Netherlands,NLD,2019-08-16,-1.3326757
New Caledonia,NCL,2019-08-16,-1.219029
New Zealand,NZL,2019-08-16,0.68463075
Nicaragua,NIC,2019-08-16,-1.5044525
Niger,NER,2019-08-16,0.3359726
Nigeria,NGA,2019-08-16,0.49021596
North Korea,PRK,2019-08-16,-0.7743879
North Macedonia,MKD,2019-08-16,-0.3097093
Northern Cyprus,-99,2019-08-16,0.60240704
Norway,-99,2019-08-16,-0.112103105
Oman,OMN,2019-08-16,-1.5618114
Pakistan,PAK,2019-08-16,0.0012068079
Palestine,PSE,2019-08-16,-0.70588493
Panama,PAN,2019-08-16,-0.12252706
Papua New Guinea,PNG,2019-08-16,0.15980087
Paraguay,PRY,2019-08-16,-0.9574864
Peru,PER,2019-08-16,0.24129327
Philippines,PHL,2019-08-16,0.3423105
Poland,POL,2019-08-16,-1.7331824
Portugal,PRT,2019-08-16,-0.8894979
Puerto Rico,PRI,2019-08-16,-0.036429603
Qatar,QAT,2019-08-16,-2.0953932
Republic of Serbia,SRB,2019-08-16,-0.577596
Republic of the Congo,COG,2019-08-16,-0.24049413
Romania,ROU,2019-08-16,-1.4292678
Russia,RUS,2019-08-16,-0.49303535
Rwanda,RWA,2019-08-16,0.36316368
Saint Vincent and the Grenadines,VCT,2019-08-16,-1.2296135
Samoa,WSM,2019-08-16,1.3618338
Saudi Arabia,SAU,2019-08-16,-1.4110727
Senegal,SEN,2019-08-16,-0.93751585
Siachen Glacier,-99,2019-08-16,1.3928864
Sierra Leone,SLE,2019-08-16,-1.0569242
Slovakia,SVK,2019-08-16,-1.3943292
Slovenia,SVN,2019-08-16,-1.1065366
Solomon Islands,SLB,2019-08-16,0.037519194
Somalia,SOM,2019-08-16,-0.46373197
Somaliland,-99,2019-08-16,-0.25063238
South Africa,ZAF,2019-08-16,-2.0988605
South Georgia and the Islands,SGS,2019-08-16,0.07634589
South Korea,KOR,2019-08-16,-0.4945283
South Sudan,SSD,2019-08-16,0.3732308
Spain,ESP,2019-08-16,-1.2156136
Sri Lanka,LKA,2019-08-16,0.38794792
Sudan,SDN,2019-08-16,0.011104047
Suriname,SUR,2019-08-16,-0.67089456
Sweden,SWE,2019-08-16,-0.47961926
Switzerland,CHE,2019-08-16,-1.0413473
Syria,SYR,2019-08-16,-0.9499451
Taiwan,TWN,2019-08-16,0.26517794
Tajikistan,TJK,2019-08-16,0.17876358
Thailand,THA,2019-08-16,-0.82378376
The Bahamas,BHS,2019-08-16,1.1213474
Togo,TGO,2019-08-16,0.5441985
Trinidad and Tobago,TTO,2019-08-16,-1.7240683
Tunisia,TUN,2019-08-16,-1.7547615
Turkey,TUR,2019-08-16,0.53091085
Turkmenistan,TKM,2019-08-16,-1.1333051
Uganda,UGA,2019-08-16,0.48665392
Ukraine,UKR,2019-08-16,-1.5432962
United Arab Emirates,ARE,2019-08-16,-1.5965812
United Kingdom,GBR,2019-08-16,0.6548572
United Republic of Tanzania,TZA,2019-08-16,-0.7024502
United States Virgin Islands,VIR,2019-08-16,0.7748192
United States of America,USA,2019-08-16,-0.08581958
Uruguay,URY,2019-08-16,0.64954245
Uzbekistan,UZB,2019-08-16,-1.1012335
Vanuatu,VUT,2019-08-16,-0.009058254
Venezuela,VEN,2019-08-16,-0.1028645
Vietnam,VNM,2019-08-16,-0.68584555
Western Sahara,ESH,2019-08-16,-0.2687836
Yemen,YEM,2019-08-16,-0.94540495
Zambia,ZMB,2019-08-16,-1.0958705
Zimbabwe,ZWE,2019-08-16,-1.4146156
eSwatini,SWZ,2019-08-16,-1.6575178
Afghanistan,AFG,2019-09-16,-1.2702013
Aland,ALA,2019-09-16,-0.16253787
Albania,ALB,2019-09-16,-0.77875274
Algeria,DZA,2019-09-16,-0.6473956
Angola,AGO,2019-09-16,-0.22482093
Antarctica,ATA,2019-09-16,
Argentina,ARG,2019-09-16,-1.0246619
Armenia,ARM,2019-09-16,-0.84158045
Australia,AUS,2019-09-16,-1.1253601
Austria,AUT,2019-09-16,-0.5282931
Azerbaijan,AZE,2019-09-16,-0.6802565
Bangladesh,BGD,2019-09-16,-0.35111958
Belarus,BLR,2019-09-16,-0.29784563
Belgium,BEL,2019-09-16,-1.3024421
Belize,BLZ,2019-09-16,-2.7966843
Benin,BEN,2019-09-16,0.16388206
Bhutan,BTN,2019-09-16,0.18146941
Bolivia,BOL,2019-09-16,-1.1251823
Bosnia and Herzegovina,BIH,2019-09-16,0.10466006
Botswana,BWA,2019-09-16,-1.8122737
Brazil,BRA,2019-09-16,-0.8720906
Brunei,BRN,2019-09-16,-1.5605545
Bulgaria,BGR,2019-09-16,-1.0632852
Burkina Faso,BFA,2019-09-16,4.5098794e-05
Burundi,BDI,2019-09-16,-0.11130841
Cabo Verde,CPV,2019-09-16,0.42581242
Cambodia,KHM,2019-09-16,0.7282241
Cameroon,CMR,2019-09-16,-0.040194847
Canada,CAN,2019-09-16,0.102326274
Cayman Islands,CYM,2019-09-16,
Central African Republic,CAF,2019-09-16,-0.3272979
Chad,TCD,2019-09-16,0.08432722
Chile,CHL,2019-09-16,-0.6002651
China,CHN,2019-09-16,-0.18538722
Colombia,COL,2019-09-16,-0.8301442
Comoros,COM,2019-09-16,-2.1974192
Costa Rica,CRI,2019-09-16,0.010124773
Croatia,HRV,2019-09-16,0.01409624
Cuba,CUB,2019-09-16,-0.06297008
Cyprus,CYP,2019-09-16,0.026657462
Czechia,CZE,2019-09-16,-1.201129
Democratic Republic of the Congo,COD,2019-09-16,0.1034986
Denmark,DNK,2019-09-16,0.16075145
Djibouti,DJI,2019-09-16,-0.15118715
Dominican Republic,DOM,2019-09-16,-1.3125983
East Timor,TLS,2019-09-16,0.29809362
Ecuador,ECU,2019-09-16,0.16686374
Egypt,EGY,2019-09-16,-1.3265483
El Salvador,SLV,2019-09-16,-1.3915058
Equatorial Guinea,GNQ,2019-09-16,0.08525509
Eritrea,ERI,2019-09-16,0.36870947
Estonia,EST,2019-09-16,-0.043086436
Ethiopia,ETH,2019-09-16,-0.25117776
Falkland Islands,FLK,2019-09-16,0.4043084
Faroe Islands,FRO,2019-09-16,-0.0076427883
Fiji,FJI,2019-09-16,-0.42944112
Finland,FIN,2019-09-16,-0.21590848
France,-99,2019-09-16,-1.5088136
French Polynesia,PYF,2019-09-16,-1.7761513
French Southern and Antarctic Lands,ATF,2019-09-16,2.3630652
Gabon,GAB,2019-09-16,0.6362413
Gambia,GMB,2019-09-16,-0.9015392
Georgia,GEO,2019-09-16,-0.28241014
Germany,DEU,2019-09-16,-1.1392902
Ghana,GHA,2019-09-16,0.86206365
Greece,GRC,2019-09-16,-1.0091606
Greenland,GRL,2019-09-16,-0.34592947
Guatemala,GTM,2019-09-16,-1.9928089
Guinea,GIN,2019-09-16,-0.31740323
Guinea-Bissau,GNB,2019-09-16,-0.6973515
Guyana,GUY,2019-09-16,1.209265
Haiti,HTI,2019-09-16,0.3817598
Honduras,HND,2019-09-16,-1.8102968
Hungary,HUN,2019-09-16,-1.080279
Iceland,ISL,2019-09-16,1.239019
India,IND,2019-09-16,0.9138262
Indonesia,IDN,2019-09-16,-1.2401853
Iran,IRN,2019-09-16,-1.3808755
Iraq,IRQ,2019-09-16,-1.4854512
Ireland,IRL,2019-09-16,0.6074389
Israel,ISR,2019-09-16,-0.5007379
Italy,ITA,2019-09-16,-0.59949934
Ivory Coast,CIV,2019-09-16,0.6541243
Jamaica,JAM,2019-09-16,-0.30213028
Japan,JPN,2019-09-16,-0.07818265
Jordan,JOR,2019-09-16,-0.5569113
Kazakhstan,KAZ,2019-09-16,-1.0223181
Kenya,KEN,2019-09-16,-0.487038
Kiribati,KIR,2019-09-16,
Kosovo,-99,2019-09-16,-0.76693463
Kuwait,KWT,2019-09-16,-1.596582
Kyrgyzstan,KGZ,2019-09-16,-0.21983896
Laos,LAO,2019-09-16,-0.7767044
Latvia,LVA,2019-09-16,-0.20276026
Lebanon,LBN,2019-09-16,-0.20514895
Lesotho,LSO,2019-09-16,-2.0811853
Liberia,LBR,2019-09-16,-0.027359394
Libya,LBY,2019-09-16,-1.1128426
Lithuania,LTU,2019-09-16,-0.3516944
Luxembourg,LUX,2019-09-16,-1.395578
Madagascar,MDG,2019-09-16,-0.94927716
Malawi,MWI,2019-09-16,-0.33446088
Malaysia,MYS,2019-09-16,-1.6933508
Mali,MLI,2019-09-16,-0.31030735
Mauritania,MRT,2019-09-16,-0.65860426
Mauritius,MUS,2019-09-16,-0.34476116
Mexico,MEX,2019-09-16,-0.78253305
Moldova,MDA,2019-09-16,-1.6573782
Mongolia,MNG,2019-09-16,-1.1065598
Montenegro,MNE,2019-09-16,-0.15270211
Morocco,MAR,2019-09-16,-0.4962092
Mozambique,MOZ,2019-09-16,-1.3803431
Myanmar,MMR,2019-09-16,-0.22430404
Namibia,NAM,2019-09-16,-0.77725255
Nepal,NPL,2019-09-16,-0.7661643
Netherlands,NLD,2019-09-16,-1.0354197
New Caledonia,NCL,2019-09-16,-1.1599888
New Zealand,NZL,2019-09-16,1.1207494
Nicaragua,NIC,2019-09-16,-1.4813687
Niger,NER,2019-09-16,-0.062430177
Nigeria,NGA,2019-09-16,0.23434354
North Korea,PRK,2019-09-16,-0.84970355
North Macedonia,MKD,2019-09-16,-0.92762953
Northern Cyprus,-99,2019-09-16,0.20369351
Norway,-99,2019-09-16,-0.12361142
Oman,OMN,2019-09-16,-1.5973108
Pakistan,PAK,2019-09-16,-0.33524793
Palestine,PSE,2019-09-16,-0.35572505
Panama,PAN,2019-09-16,-0.38060948
Papua New Guinea,PNG,2019-09-16,0.0683553
Paraguay,PRY,2019-09-16,-1.0748111
Peru,PER,2019-09-16,-0.0068866936
Philippines,PHL,2019-09-16,0.10093458
Poland,POL,2019-09-16,-1.1154622
Portugal,PRT,2019-09-16,-0.93008494
Puerto Rico,PRI,2019-09-16,1.0678066
Qatar,QAT,2019-09-16,-2.0015013
Republic of Serbia,SRB,2019-09-16,-0.88599217
Republic of the Congo,COG,2019-09-16,0.72686946
Romania,ROU,2019-09-16,-1.5445573
Russia,RUS,2019-09-16,-0.20610492
Rwanda,RWA,2019-09-16,0.2827673
Saint Vincent and the Grenadines,VCT,2019-09-16,-1.0678596
Samoa,WSM,2019-09-16,1.1646365
Saudi Arabia,SAU,2019-09-16,-1.2010334
Senegal,SEN,2019-09-16,-0.97741437
Siachen Glacier,-99,2019-09-16,-0.2008665
Sierra Leone,SLE,2019-09-16,-0.9650116
Slovakia,SVK,2019-09-16,-0.7859485
Slovenia,SVN,2019-09-16,0.17791627
Solomon Islands,SLB,2019-09-16,0.035438646
Somalia,SOM,2019-09-16,-0.2814439
Somaliland,-99,2019-09-16,-0.42631316
South Africa,ZAF,2019-09-16,-2.0915074
South Georgia and the Islands,SGS,2019-09-16,0.30947882
South Korea,KOR,2019-09-16,-0.012130802
South Sudan,SSD,2019-09-16,0.24806039
Spain,ESP,2019-09-16,-0.5452023
Sri Lanka,LKA,2019-09-16,1.5884799
Sudan,SDN,2019-09-16,-0.01408237
Suriname,SUR,2019-09-16,-0.42875633
Sweden,SWE,2019-09-16,-0.30558994
Switzerland,CHE,2019-09-16,-0.9299245
Syria,SYR,2019-09-16,-0.7997272
Taiwan,TWN,2019-09-16,0.333914
Tajikistan,TJK,2019-09-16,-1.3296403
Thailand,THA,2019-09-16,-0.70637554
The Bahamas,BHS,2019-09-16,1.2582632
Togo,TGO,2019-09-16,0.5931635
Trinidad and Tobago,TTO,2019-09-16,-1.6960745
Tunisia,TUN,2019-09-16,-0.775497
Turkey,TUR,2019-09-16,-0.041163754
Turkmenistan,TKM,2019-09-16,-0.68817395
Uganda,UGA,2019-09-16,-0.20754637
Ukraine,UKR,2019-09-16,-1.2835675
United Arab Emirates,ARE,2019-09-16,-1.8411455
United Kingdom,GBR,2019-09-16,0.47208065
United Republic of Tanzania,TZA,2019-09-16,-0.79329777
United States Virgin Islands,VIR,2019-09-16,1.2988266
United States of America,USA,2019-09-16,0.109604344
Uruguay,URY,2019-09-16,-0.12834157
Uzbekistan,UZB,2019-09-16,-1.249152
Vanuatu,VUT,2019-09-16,0.017624492
Venezuela,VEN,2019-09-16,-0.13378912
Vietnam,VNM,2019-09-16,-0.38449782
Western Sahara,ESH,2019-09-16,-0.49637324
Yemen,YEM,2019-09-16,-0.75057083
Zambia,ZMB,2019-09-16,-1.0831926
Zimbabwe,ZWE,2019-09-16,-1.0775019
eSwatini,SWZ,2019-09-16,-1.381315
Afghanistan,AFG,2019-10-16,-0.47809267
Aland,ALA,2019-10-16,0.31538785
Albania,ALB,2019-10-16,-2.0324714
Algeria,DZA,2019-10-16,-0.77196306
Angola,AGO,2019-10-16,0.03175658
Antarctica,ATA,2019-10-16,
Argentina,ARG,2019-10-16,-0.91322416
Armenia,ARM,2019-10-16,-1.1562283
Australia,AUS,2019-10-16,-1.2310421
Austria,AUT,2019-10-16,-0.2890909
Azerbaijan,AZE,2019-10-16,-1.4015563
Bangladesh,BGD,2019-10-16,-0.54388
Belarus,BLR,2019-10-16,-0.882107
Belgium,BEL,2019-10-16,-0.4677596
Belize,BLZ,2019-10-16,-1.8930969
Benin,BEN,2019-10-16,0.9409309
Bhutan,BTN,2019-10-16,-0.25079253
Bolivia,BOL,2019-10-16,-1.4654989
Bosnia and Herzegovina,BIH,2019-10-16,-1.6283379
Botswana,BWA,2019-10-16,-1.4791112
Brazil,BRA,2019-10-16,-0.91602874
Brunei,BRN,2019-10-16,-1.3052089
Bulgaria,BGR,2019-10-16,-1.4460192
Burkina Faso,BFA,2019-10-16,0.7951835
Burundi,BDI,2019-10-16,1.6776701
Cabo Verde,CPV,2019-10-16,-0.059454296
Cambodia,KHM,2019-10-16,0.0057227346
Cameroon,CMR,2019-10-16,0.50573504
Canada,CAN,2019-10-16,0.09282715
Cayman Islands,CYM,2019-10-16,
Central African Republic,CAF,2019-10-16,-0.10871215
Chad,TCD,2019-10-16,0.052663974
Chile,CHL,2019-10-16,-0.92746615
China,CHN,2019-10-16,-0.19213803
Colombia,COL,2019-10-16,-0.45667753
Comoros,COM,2019-10-16,-2.1220775
Costa Rica,CRI,2019-10-16,-0.009451073
Croatia,HRV,2019-10-16,-1.1307136
Cuba,CUB,2019-10-16,-0.63117015
Cyprus,CYP,2019-10-16,-0.00865132
Czechia,CZE,2019-10-16,-0.8373348
Democratic Republic of the Congo,COD,2019-10-16,0.231314
Denmark,DNK,2019-10-16,0.9362546
Djibouti,DJI,2019-10-16,0.052099597
Dominican Republic,DOM,2019-10-16,-1.3334669
East Timor,TLS,2019-10-16,-0.32000676
Ecuador,ECU,2019-10-16,0.1654479
Egypt,EGY,2019-10-16,-1.0337218
El Salvador,SLV,2019-10-16,-1.6302471
Equatorial Guinea,GNQ,2019-10-16,0.43291667
Eritrea,ERI,2019-10-16,0.91817445
Estonia,EST,2019-10-16,0.25359556
Ethiopia,ETH,2019-10-16,0.69840175
Falkland Islands,FLK,2019-10-16,0.71990585
Faroe Islands,FRO,2019-10-16,-0.05834813
Fiji,FJI,2019-10-16,-0.19873093
Finland,FIN,2019-10-16,0.3008023
France,-99,2019-10-16,-0.61377513
French Polynesia,PYF,2019-10-16,-2.0984442
French Southern and Antarctic Lands,ATF,2019-10-16,2.2542686
Gabon,GAB,2019-10-16,1.5118881
Gambia,GMB,2019-10-16,0.0021669175
Georgia,GEO,2019-10-16,-1.0659305
Germany,DEU,2019-10-16,-0.41245103
Ghana,GHA,2019-10-16,1.357249
Greece,GRC,2019-10-16,-1.7024636
Greenland,GRL,2019-10-16,-0.12975435
Guatemala,GTM,2019-10-16,-0.77932197
Guinea,GIN,2019-10-16,-0.13047577
Guinea-Bissau,GNB,2019-10-16,-0.045015875
Guyana,GUY,2019-10-16,0.9647858
Haiti,HTI,2019-10-16,-0.4948754
Honduras,HND,2019-10-16,-2.0430274
Hungary,HUN,2019-10-16,-1.3106581
Iceland,ISL,2019-10-16,1.0773284
India,IND,2019-10-16,1.0737569
Indonesia,IDN,2019-10-16,-0.9713625
Iran,IRN,2019-10-16,-1.1657236
Iraq,IRQ,2019-10-16,-1.4412671
Ireland,IRL,2019-10-16,1.134504
Israel,ISR,2019-10-16,-0.026151162
Italy,ITA,2019-10-16,-0.962975
Ivory Coast,CIV,2019-10-16,0.6158783
Jamaica,JAM,2019-10-16,-0.9429974
Japan,JPN,2019-10-16,0.1887731
Jordan,JOR,2019-10-16,-0.29615983
Kazakhstan,KAZ,2019-10-16,-0.77404326
Kenya,KEN,2019-10-16,1.8735539
Kiribati,KIR,2019-10-16,
Kosovo,-99,2019-10-16,-2.1020167
Kuwait,KWT,2019-10-16,-1.3965846
Kyrgyzstan,KGZ,2019-10-16,0.16431631
Laos,LAO,2019-10-16,-1.0527028
Latvia,LVA,2019-10-16,-0.02072601
Lebanon,LBN,2019-10-16,-0.055075843
Lesotho,LSO,2019-10-16,-2.445013
Liberia,LBR,2019-10-16,-0.15598755
Libya,LBY,2019-10-16,-0.82531273
Lithuania,LTU,2019-10-16,-0.53010386
Luxembourg,LUX,2019-10-16,-0.5510186
Madagascar,MDG,2019-10-16,-1.0602334
Malawi,MWI,2019-10-16,0.49936476
Malaysia,MYS,2019-10-16,-1.4411587
Mali,MLI,2019-10-16,0.018887265
Mauritania,MRT,2019-10-16,-0.44585803
Mauritius,MUS,2019-10-16,0.7770178
Mexico,MEX,2019-10-16,-0.008992134
Moldova,MDA,2019-10-16,-1.6049837
Mongolia,MNG,2019-10-16,-1.380289
Montenegro,MNE,2019-10-16,-2.0126622
Morocco,MAR,2019-10-16,-0.56163204
Mozambique,MOZ,2019-10-16,-0.75267947
Myanmar,MMR,2019-10-16,0.0783235
Namibia,NAM,2019-10-16,-0.60464245
Nepal,NPL,2019-10-16,-1.4623809
Netherlands,NLD,2019-10-16,-0.12166009
New Caledonia,NCL,2019-10-16,-1.2808572
New Zealand,NZL,2019-10-16,0.7163071
Nicaragua,NIC,2019-10-16,-1.560147
Niger,NER,2019-10-16,0.24213786
Nigeria,NGA,2019-10-16,0.9419086
North Korea,PRK,2019-10-16,-0.5369552
North Macedonia,MKD,2019-10-16,-1.9436647
Northern Cyprus,-99,2019-10-16,-0.034316838
Norway,-99,2019-10-16,0.20213388
Oman,OMN,2019-10-16,-1.8307128
Pakistan,PAK,2019-10-16,-0.0047843843
Palestine,PSE,2019-10-16,0.2422282
Panama,PAN,2019-10-16,-0.33985454
Papua New Guinea,PNG,2019-10-16,0.33474186
Paraguay,PRY,2019-10-16,-1.7856996
Peru,PER,2019-10-16,-0.107501134
Philippines,PHL,2019-10-16,-0.62518084
Poland,POL,2019-10-16,-0.96255744
Portugal,PRT,2019-10-16,-0.91075957
Puerto Rico,PRI,2019-10-16,0.35300207
Qatar,QAT,2019-10-16,-1.8639814
Republic of Serbia,SRB,2019-10-16,-1.7734513
Republic of the Congo,COG,2019-10-16,1.2496252
Romania,ROU,2019-10-16,-1.5916163
Russia,RUS,2019-10-16,-0.111034624
Rwanda,RWA,2019-10-16,1.973978
Saint Vincent and the Grenadines,VCT,2019-10-16,-0.37641376
Samoa,WSM,2019-10-16,0.10021894
Saudi Arabia,SAU,2019-10-16,-0.9366097
Senegal,SEN,2019-10-16,0.13134712
Siachen Glacier,-99,2019-10-16,0.031558413
Sierra Leone,SLE,2019-10-16,-0.2871002
Slovakia,SVK,2019-10-16,-0.80633825
Slovenia,SVN,2019-10-16,-0.6137328
Solomon Islands,SLB,2019-10-16,0.03336261
Somalia,SOM,2019-10-16,0.3800374
Somaliland,-99,2019-10-16,-0.05672023
South Africa,ZAF,2019-10-16,-2.1009867
South Georgia and the Islands,SGS,2019-10-16,0.71046793
South Korea,KOR,2019-10-16,0.47491676
South Sudan,SSD,2019-10-16,0.5702614
Spain,ESP,2019-10-16,-0.40403092
Sri Lanka,LKA,2019-10-16,2.005365
Sudan,SDN,2019-10-16,0.578384
Suriname,SUR,2019-10-16,-0.057598095
Sweden,SWE,2019-10-16,0.4347275
Switzerland,CHE,2019-10-16,-0.14465085
Syria,SYR,2019-10-16,-0.88805556
Taiwan,TWN,2019-10-16,-0.25733277
Tajikistan,TJK,2019-10-16,-0.5319338
Thailand,THA,2019-10-16,-0.89055306
The Bahamas,BHS,2019-10-16,-0.20311518
Togo,TGO,2019-10-16,1.502363
Trinidad and Tobago,TTO,2019-10-16,-1.4199301
Tunisia,TUN,2019-10-16,0.19047523
Turkey,TUR,2019-10-16,-0.9334335
Turkmenistan,TKM,2019-10-16,-1.0010778
Uganda,UGA,2019-10-16,1.3402416
Ukraine,UKR,2019-10-16,-1.3593533
United Arab Emirates,ARE,2019-10-16,-1.6248484
United Kingdom,GBR,2019-10-16,0.88934183
United Republic of Tanzania,TZA,2019-10-16,0.2521984
United States Virgin Islands,VIR,2019-10-16,0.33289865
United States of America,USA,2019-10-16,0.5803904
Uruguay,URY,2019-10-16,1.1766727
Uzbekistan,UZB,2019-10-16,-1.1537055
Vanuatu,VUT,2019-10-16,0.080608726
Venezuela,VEN,2019-10-16,0.101972185
Vietnam,VNM,2019-10-16,-0.9790293
Western Sahara,ESH,2019-10-16,-0.6039735
Yemen,YEM,2019-10-16,-0.8530328
Zambia,ZMB,2019-10-16,-0.5339253
Zimbabwe,ZWE,2019-10-16,-0.9648459
eSwatini,SWZ,2019-10-16,-1.1949251
Afghanistan,AFG,2019-11-16,0.6069136
Aland,ALA,2019-11-16,1.3158286
Albania,ALB,2019-11-16,0.27353466
Algeria,DZA,2019-11-16,-1.0413972
Angola,AGO,2019-11-16,0.08222322
Antarctica,ATA,2019-11-16,
Argentina,ARG,2019-11-16,-0.49255383
Armenia,ARM,2019-11-16,-1.2459499
Australia,AUS,2019-11-16,-1.5082918
Austria,AUT,2019-11-16,0.42420176
Azerbaijan,AZE,2019-11-16,-1.3023146
Bangladesh,BGD,2019-11-16,0.3924369
Belarus,BLR,2019-11-16,-0.84986687
Belgium,BEL,2019-11-16,0.44127297
Belize,BLZ,2019-11-16,-1.5109825
Benin,BEN,2019-11-16,1.3840955
Bhutan,BTN,2019-11-16,1.008431
Bolivia,BOL,2019-11-16,-0.5822887
Bosnia and Herzegovina,BIH,2019-11-16,-0.057281114
Botswana,BWA,2019-11-16,-1.3390806
Brazil,BRA,2019-11-16,-0.7721525
Brunei,BRN,2019-11-16,-0.5442252
Bulgaria,BGR,2019-11-16,-1.5001934
Burkina Faso,BFA,2019-11-16,0.45688418
Burundi,BDI,2019-11-16,2.0318317
Cabo Verde,CPV,2019-11-16,-0.033901554
Cambodia,KHM,2019-11-16,-0.22675034
Cameroon,CMR,2019-11-16,0.42932668
Canada,CAN,2019-11-16,-0.09536923
Cayman Islands,CYM,2019-11-16,
Central African Republic,CAF,2019-11-16,0.026024405
Chad,TCD,2019-11-16,-0.22924104
Chile,CHL,2019-11-16,-0.46879104
China,CHN,2019-11-16,-0.36022335
Colombia,COL,2019-11-16,-0.058768544
Comoros,COM,2019-11-16,-1.2187434
Costa Rica,CRI,2019-11-16,0.6272114
Croatia,HRV,2019-11-16,0.45661405
Cuba,CUB,2019-11-16,-0.90310305
Cyprus,CYP,2019-11-16,-1.1381502
Czechia,CZE,2019-11-16,-0.21712707
Democratic Republic of the Congo,COD,2019-11-16,0.28255916
Denmark,DNK,2019-11-16,1.5266862
Djibouti,DJI,2019-11-16,0.7207302
Dominican Republic,DOM,2019-11-16,-0.7564028
East Timor,TLS,2019-11-16,-0.17902125
Ecuador,ECU,2019-11-16,1.2640543
Egypt,EGY,2019-11-16,-1.3870442
El Salvador,SLV,2019-11-16,-0.9953214
Equatorial Guinea,GNQ,2019-11-16,0.40106997
Eritrea,ERI,2019-11-16,0.92973775
Estonia,EST,2019-11-16,0.99690384
Ethiopia,ETH,2019-11-16,1.2714312
Falkland Islands,FLK,2019-11-16,0.702197
Faroe Islands,FRO,2019-11-16,-0.10132866
Fiji,FJI,2019-11-16,-0.37661684
Finland,FIN,2019-11-16,0.96513796
France,-99,2019-11-16,0.58794695
French Polynesia,PYF,2019-11-16,-1.7500318
French Southern and Antarctic Lands,ATF,2019-11-16,2.2969718
Gabon,GAB,2019-11-16,1.5532179
Gambia,GMB,2019-11-16,0.09672667
Georgia,GEO,2019-11-16,-1.2848998
Germany,DEU,2019-11-16,0.11394284
Ghana,GHA,2019-11-16,1.3694972
Greece,GRC,2019-11-16,-0.41767275
Greenland,GRL,2019-11-16,0.34156057
Guatemala,GTM,2019-11-16,-0.66287196
Guinea,GIN,2019-11-16,-0.2447807
Guinea-Bissau,GNB,2019-11-16,-0.15174061
Guyana,GUY,2019-11-16,1.0896573
Haiti,HTI,2019-11-16,0.39439282
Honduras,HND,2019-11-16,-1.4332942
Hungary,HUN,2019-11-16,-0.41507754
Iceland,ISL,2019-11-16,0.17605838
India,IND,2019-11-16,1.116738
Indonesia,IDN,2019-11-16,-1.0390015
Iran,IRN,2019-11-16,-0.5673654
Iraq,IRQ,2019-11-16,-0.9288809
Ireland,IRL,2019-11-16,1.1667753
Israel,ISR,2019-11-16,-1.0529698
Italy,ITA,2019-11-16,0.74825454
Ivory Coast,CIV,2019-11-16,0.3849158
Jamaica,JAM,2019-11-16,-1.518935
Japan,JPN,2019-11-16,-0.9106929
Jordan,JOR,2019-11-16,-0.8755064
Kazakhstan,KAZ,2019-11-16,-0.41523615
Kenya,KEN,2019-11-16,1.9248381
Kiribati,KIR,2019-11-16,
Kosovo,-99,2019-11-16,-0.8972976
Kuwait,KWT,2019-11-16,-0.5002483
Kyrgyzstan,KGZ,2019-11-16,0.16306867
Laos,LAO,2019-11-16,-1.5756049
Latvia,LVA,2019-11-16,0.55245113
Lebanon,LBN,2019-11-16,-1.3286533
Lesotho,LSO,2019-11-16,-2.3101633
Liberia,LBR,2019-11-16,-0.35029754
Libya,LBY,2019-11-16,-0.94625527
Lithuania,LTU,2019-11-16,-0.3720904
Luxembourg,LUX,2019-11-16,0.17655393
Madagascar,MDG,2019-11-16,0.65529925
Malawi,MWI,2019-11-16,0.9130241
Malaysia,MYS,2019-11-16,-1.3597451
Mali,MLI,2019-11-16,-0.2632991
Mauritania,MRT,2019-11-16,-0.44406793
Mauritius,MUS,2019-11-16,0.152089
Mexico,MEX,2019-11-16,0.6316508
Moldova,MDA,2019-11-16,-1.4827335
Mongolia,MNG,2019-11-16,-1.5678504
Montenegro,MNE,2019-11-16,-0.05120982
Morocco,MAR,2019-11-16,-0.48758093
Mozambique,MOZ,2019-11-16,0.03973441
Myanmar,MMR,2019-11-16,-0.025551569
Namibia,NAM,2019-11-16,-0.5419405
Nepal,NPL,2019-11-16,-0.7914688
Netherlands,NLD,2019-11-16,0.8016932
New Caledonia,NCL,2019-11-16,-1.469967
New Zealand,NZL,2019-11-16,0.20744468
Nicaragua,NIC,2019-11-16,-1.0570508
Niger,NER,2019-11-16,-0.25156894
Nigeria,NGA,2019-11-16,1.0185075
North Korea,PRK,2019-11-16,-0.4417977
North Macedonia,MKD,2019-11-16,-0.74643826
Northern Cyprus,-99,2019-11-16,-0.96851707
Norway,-99,2019-11-16,0.11186586
Oman,OMN,2019-11-16,-0.8819898
Pakistan,PAK,2019-11-16,0.54986435
Palestine,PSE,2019-11-16,-1.0999514
Panama,PAN,2019-11-16,0.15925068
Papua New Guinea,PNG,2019-11-16,0.26492706
Paraguay,PRY,2019-11-16,-1.2599946
Peru,PER,2019-11-16,0.036571775
Philippines,PHL,2019-11-16,-0.48103696
