iso_o,iso_d,contig,comlang_off,colony,border_friction
ABW,NOR,0,0,0,1.0
ABW,NPL,0,0,0,1.0
ABW,NRU,0,0,0,1.0
ABW,NZL,0,0,0,1.0
ABW,OMN,0,0,0,1.0
ABW,PAK,0,0,0,1.0
ABW,PAL,0,0,0,1.0
ABW,PAN,0,1,0,0.6666666666666667
ABW,PCN,0,0,0,1.0
ABW,PER,0,1,0,0.6666666666666667
ABW,PHL,0,0,0,1.0
ABW,PLW,0,0,0,1.0
ABW,PNG,0,0,0,1.0
ABW,POL,0,0,0,1.0
ABW,PRI,0,1,0,0.6666666666666667
ABW,PRK,0,0,0,1.0
ABW,PRT,0,0,0,1.0
ABW,PRY,0,1,0,0.6666666666666667
ABW,PYF,0,0,0,1.0
ABW,QAT,0,0,0,1.0
ABW,REU,0,0,0,1.0
ABW,ROM,0,0,0,1.0
ABW,RUS,0,0,0,1.0
ABW,RWA,0,0,0,1.0
ABW,SAU,0,0,0,1.0
ABW,SDN,0,0,0,1.0
ABW,SEN,0,0,0,1.0
ABW,SGP,0,0,0,1.0
ABW,SHN,0,0,0,1.0
ABW,SLB,0,0,0,1.0
ABW,SLE,0,0,0,1.0
ABW,SLV,0,1,0,0.6666666666666667
ABW,SMR,0,0,0,1.0
ABW,SOM,0,0,0,1.0
ABW,SPM,0,0,0,1.0
ABW,STP,0,0,0,1.0
ABW,SUR,0,1,0,0.6666666666666667
ABW,SVK,0,0,0,1.0
ABW,SVN,0,0,0,1.0
ABW,SWE,0,0,0,1.0
ABW,SWZ,0,0,0,1.0
ABW,SYC,0,0,0,1.0
ABW,SYR,0,0,0,1.0
ABW,TCA,0,0,0,1.0
ABW,TCD,0,0,0,1.0
ABW,TGO,0,0,0,1.0
ABW,THA,0,0,0,1.0
ABW,TJK,0,0,0,1.0
ABW,TKL,0,0,0,1.0
ABW,TKM,0,0,0,1.0
ABW,TMP,0,0,0,1.0
ABW,TON,0,0,0,1.0
ABW,TTO,0,0,0,1.0
ABW,TUN,0,0,0,1.0
ABW,TUR,0,0,0,1.0
ABW,TUV,0,0,0,1.0
ABW,TWN,0,0,0,1.0
ABW,TZA,0,0,0,1.0
ABW,UGA,0,0,0,1.0
ABW,UKR,0,0,0,1.0
ABW,URY,0,1,0,0.6666666666666667
ABW,USA,0,0,0,1.0
ABW,UZB,0,0,0,1.0
ABW,VCT,0,0,0,1.0
ABW,VEN,0,1,0,0.6666666666666667
ABW,VGB,0,0,0,1.0
ABW,VNM,0,0,0,1.0
ABW,VUT,0,0,0,1.0
ABW,WLF,0,0,0,1.0
ABW,WSM,0,0,0,1.0
ABW,YEM,0,0,0,1.0
ABW,YUG,0,0,0,1.0
ABW,ZAF,0,0,0,1.0
ABW,ZAR,0,0,0,1.0
ABW,ZMB,0,0,0,1.0
ABW,ZWE,0,0,0,1.0
AFG,ABW,0,0,0,1.0
AFG,AFG,0,0,0,1.0
AFG,AGO,0,0,0,1.0
AFG,AIA,0,0,0,1.0
