iso3,year,political_stability
AFG,2019,-2.6525397300720215
ALB,2019,0.11010505259037018
DZA,2019,-1.0558538436889648
ASM,2019,1.1449339389801025
ADO,2019,1.5773667097091675
AGO,2019,-0.3684116005897522
AIA,2019,1.3170461654663086
ATG,2019,0.9380796551704407
ARG,2019,-0.09782309085130692
ARM,2019,-0.4200249910354614
ABW,2019,1.3358073234558105
AUS,2019,0.9179789423942566
AUT,2019,0.8921890258789062
AZE,2019,-0.6934114694595337
BHS,2019,0.8015685677528381
BHR,2019,-0.626829981803894
BGD,2019,-0.9286287426948547
BRB,2019,1.0329310894012451
BLR,2019,0.34497809410095215
BEL,2019,0.4583953320980072
BLZ,2019,0.06198648363351822
BEN,2019,-0.42024025321006775
BMU,2019,1.0515190362930298
BTN,2019,1.0654714107513428
BOL,2019,-0.7283402681350708
BIH,2019,-0.4248116910457611
BWA,2019,1.0953298807144165
BRA,2019,-0.714224636554718
BRN,2019,1.1110872030258179
BGR,2019,0.5612844228744507
BFA,2019,-1.3021939992904663
BDI,2019,-1.625056266784668
KHM,2019,-0.07548864930868149
CMR,2019,-1.5618232488632202
CAN,2019,0.994933545589447
CPV,2019,0.8596274256706238
CYM,2019,1.4015254974365234
CAF,2019,-2.1358754634857178
TCD,2019,-1.350451111793518
CHL,2019,-0.016121579334139824
CHN,2019,-0.2597806751728058
COL,2019,-0.9794861078262329
COM,2019,-0.17679767310619354
ZAR,2019,-1.6264235973358154
COG,2019,-0.299274206161499
COK,2019,1.1243659257888794
CRI,2019,0.43031996488571167
HRV,2019,0.6855106949806213
CUB,2019,0.6105005741119385
CYP,2019,0.5445982217788696
CZE,2019,0.9419956803321838
CIV,2019,-1.0364967584609985
DNK,2019,0.9675987362861633
DJI,2019,-0.34338805079460144
DMA,2019,1.0299415588378906
DOM,2019,-0.003112269565463066
ECU,2019,-0.23821775615215302
EGY,2019,-1.1246308088302612
SLV,2019,-0.12022831290960312
GNQ,2019,-0.14789828658103943
ERI,2019,-0.7059687972068787
EST,2019,0.6301977634429932
SWZ,2019,-0.2743779122829437
ETH,2019,-1.3037627935409546
FJI,2019,0.7793349027633667
FIN,2019,0.8352588415145874
FRA,2019,0.2713412344455719
GUF,2019,0.24391065537929535
GAB,2019,-0.07509861886501312
GMB,2019,0.214491605758667
GEO,2019,-0.49817195534706116
DEU,2019,0.5485398769378662
GHA,2019,0.1185268685221672
GRC,2019,0.1624283343553543
GRL,2019,1.8873629570007324
GRD,2019,0.9380796551704407
GUM,2019,0.886530876159668
GTM,2019,-0.577340841293335
GIN,2019,-0.8426061272621155
GNB,2019,-0.561567485332489
GUY,2019,-0.254073828458786
HTI,2019,-0.8876373171806335
HND,2019,-0.569057047367096
HKG,2019,-0.22703735530376434
HUN,2019,0.7619212865829468
ISL,2019,1.619806170463562
IND,2019,-0.7968469858169556
IDN,2019,-0.5021430253982544
IRN,2019,-1.711534023284912
IRQ,2019,-2.6092777252197266
IRL,2019,0.9594164490699768
ISR,2019,-0.8155680298805237
ITA,2019,0.38111427426338196
JAM,2019,0.38830986618995667
JPN,2019,1.0198123455047607
JEY,2019,1.2802094221115112
JOR,2019,-0.27688515186309814
KAZ,2019,-0.16803734004497528
KEN,2019,-1.1057634353637695
KIR,2019,1.1214336156845093
PRK,2019,-0.2868788540363312
KOR,2019,0.5471979379653931
KSV,2019,-0.34861594438552856
KWT,2019,0.17517338693141937
KGZ,2019,-0.2655680775642395
LAO,2019,0.5303522348403931
LVA,2019,0.4268704354763031
LBN,2019,-1.6723570823669434
LSO,2019,-0.42798033356666565
LBR,2019,-0.34100890159606934
LBY,2019,-2.5658981800079346
LIE,2019,1.5976498126983643
LTU,2019,0.7706235647201538
LUX,2019,1.3333135843276978
MAC,2019,1.2154215574264526
MDG,2019,-0.3139573037624359
MWI,2019,-0.28681960701942444
MYS,2019,0.14648012816905975
MDV,2019,0.027658289298415184
MLI,2019,-2.214308738708496
MLT,2019,1.013645052909851
MHL,2019,1.172306776046753
MTQ,2019,0.7522661089897156
MRT,2019,-0.5629211664199829
MUS,2019,0.8020082116127014
MEX,2019,-0.8418691754341125
FSM,2019,1.0327569246292114
MDA,2019,-0.3872883915901184
MCO,2019,1.5773667097091675
MNG,2019,0.6367509365081787
MNE,2019,0.05806864798069
MAR,2019,-0.3458053767681122
MOZ,2019,-0.7657200694084167
MMR,2019,-1.330501675605774
NAM,2019,0.5288904905319214
NRU,2019,0.795099675655365
NPL,2019,-0.45365965366363525
