Country Name,Country Code,Indicator Code,2019,2020,2021,2022
Thailand,THA,NY.GDP.MKTP.CD,543976691793.88586,500461898480.2456,506194668789.9366,495644697587.6605
Timor-Leste,TLS,NY.GDP.MKTP.CD,2032550389.41316,2162619240.86927,3624889673.07263,3208593982.0107102
Togo,TGO,NY.GDP.MKTP.CD,6992700101.371879,7400284167.784795,8342243645.944384,8169476148.956921
Tonga,TON,NY.GDP.MKTP.CD,494197853.9718424,496856303.9494889,518228028.7016855,518180029.4134348
Trinidad and Tobago,TTO,NY.GDP.MKTP.CD,23588037786.740265,20991339706.561333,24177305760.27627,28510328245.13716
Tunisia,TUN,NY.GDP.MKTP.CD,41905642418.82504,42491780918.36103,47073234359.18191,44948769171.28496
Turkiye,TUR,NY.GDP.MKTP.CD,761005915750.9254,720338490327.2477,819865223976.115,907118434653.5048
Turkmenistan,TKM,NY.GDP.MKTP.CD,45232857142.85714,45818000000.0,50007428571.42857,58972000000.0
Turks and Caicos Islands,TCA,NY.GDP.MKTP.CD,1371838000.0,918387000.0,1236459000.0,1434119000.0
Tuvalu,TUV,NY.GDP.MKTP.CD,54123198.5662913,51746594.31485426,60196405.71383929,59065982.08736571
Uganda,UGA,NY.GDP.MKTP.CD,35353061007.96349,37600368239.882416,40529788744.05949,45565333216.41416
Ukraine,UKR,NY.GDP.MKTP.CD,153883047509.57697,156617722013.3422,199765859570.9353,161989520721.1905
United Arab Emirates,ARE,NY.GDP.MKTP.CD,417989721742.6821,349473015330.15656,415178792756.9776,502731935194.0095
United Kingdom,GBR,NY.GDP.MKTP.CD,2851407164907.808,2696778386607.6523,3143323050707.2583,3114042471144.388
United States,USA,NY.GDP.MKTP.CD,21539982000000.0,21354105000000.0,23681171000000.0,26006893000000.0
Uruguay,URY,NY.GDP.MKTP.CD,62222313618.84535,53559359261.826,60739084240.863335,70594110920.03578
Uzbekistan,UZB,NY.GDP.MKTP.CD,67293639798.39958,66443265418.30865,77340060003.0347,90095926567.4359
Vanuatu,VUT,NY.GDP.MKTP.CD,936526267.6225132,909421043.508407,982362211.918412,1030654208.3005296
"Venezuela, RB",VEN,NY.GDP.MKTP.CD,,,,
Viet Nam,VNM,NY.GDP.MKTP.CD,334365270496.66705,346615738537.7963,366474752771.0093,413445230668.5782
Virgin Islands (U.S.),VIR,NY.GDP.MKTP.CD,4121000000.0,4229000000.0,4507000000.0,4672000000.0
West Bank and Gaza,PSE,NY.GDP.MKTP.CD,17133500000.0,15531700000.0,18109000000.0,19165500000.0
"Yemen, Rep.",YEM,NY.GDP.MKTP.CD,,,,
Zambia,ZMB,NY.GDP.MKTP.CD,23308667781.225758,18137764930.65097,22096416932.008896,29163782140.485832
Zimbabwe,ZWE,NY.GDP.MKTP.CD,25715657177.4682,26868564055.12003,27240507841.672894,32789657377.978817
