Country Name,Country Code,Indicator Code,2019,2020,2021,2022
Algeria,DZA,NY.GDP.MKTP.CD,193459662090.6768,164873415325.20148,186231205262.0824,225638456572.1428
American Samoa,ASM,NY.GDP.MKTP.CD,647000000.0,721000000.0,750000000.0,871000000.0
Andorra,AND,NY.GDP.MKTP.CD,3155149347.806392,2891001149.361105,3324647529.3809986,3380612573.3292155
Angola,AGO,NY.GDP.MKTP.CD,70897962732.02774,48501561203.56864,66505129987.72355,104399746853.4014
Antigua and Barbuda,ATG,NY.GDP.MKTP.CD,1726448148.148148,1411637037.037037,1602125925.9259255,1866566666.6666665
Argentina,ARG,NY.GDP.MKTP.CD,447754683615.22455,385740508436.9652,486564085480.0355,632790070063.1237
Armenia,ARM,NY.GDP.MKTP.CD,13619290539.211609,12641698583.21524,13878908628.937807,19513506553.125072
Aruba,ABW,NY.GDP.MKTP.CD,3395798882.6815643,2481857122.8401003,2929446578.2510448,3279343543.604156
Australia,AUS,NY.GDP.MKTP.CD,1392723834562.644,1328414058378.3755,1556735770437.2593,1690858246994.434
Austria,AUT,NY.GDP.MKTP.CD,442983642371.8424,434397601557.69617,480467037338.78296,471773629830.3812
Azerbaijan,AZE,NY.GDP.MKTP.CD,48174235294.117645,42693000000.0,54825411764.70589,78807470588.2353
"Bahamas, The",BHS,NY.GDP.MKTP.CD,13277000000.0,10363200000.0,12037000000.0,13896800000.0
Bahrain,BHR,NY.GDP.MKTP.CD,40446808510.6383,35837632978.723404,40840212765.95744,46458191489.3617
Bangladesh,BGD,NY.GDP.MKTP.CD,351231654603.69226,373979442362.1933,416271647911.01416,460131689083.0827
Barbados,BRB,NY.GDP.MKTP.CD,5788288000.0,5168344450.0,5275242050.0,6257303500.0
Belarus,BLR,NY.GDP.MKTP.CD,64410170653.45689,61371673344.74242,69673747131.86996,73775179924.60303
Belgium,BEL,NY.GDP.MKTP.CD,536726344405.4893,529694473501.7913,598522422241.8508,593614574325.8778
Belize,BLZ,NY.GDP.MKTP.CD,2388300000.0,2042850000.0,2420550000.0,2846700000.0
Benin,BEN,NY.GDP.MKTP.CD,14391686313.464125,15686741893.518717,17687623534.666485,17425405083.879665
Bermuda,BMU,NY.GDP.MKTP.CD,7423465000.0,6887364000.0,7290037000.0,7874381000.0
Bhutan,BTN,NY.GDP.MKTP.CD,2735683570.461552,2457604333.909266,2768802960.1120367,2898227743.7557607
Bolivia,BOL,NY.GDP.MKTP.CD,40895322850.94067,36629843806.07815,40406111693.198265,44008282879.884224
Bosnia and Herzegovina,BIH,NY.GDP.MKTP.CD,20482608755.37896,20226036564.412888,23672712242.214893,24534663636.17784
Botswana,BWA,NY.GDP.MKTP.CD,16725908148.548136,14960251610.897535,18750182234.53175,20321150598.067173
Brazil,BRA,NY.GDP.MKTP.CD,1873288205059.69,1476107231310.4937,1670647398904.9016,1951923942083.32
British Virgin Islands,VGB,NY.GDP.MKTP.CD,,,,
Brunei Darussalam,BRN,NY.GDP.MKTP.CD,13469235348.22107,12005799664.269123,14006496614.319468,16681536442.549795
Bulgaria,BGR,NY.GDP.MKTP.CD,68634004792.10002,70550652466.62506,84414122840.1687,90509236929.22368
Burkina Faso,BFA,NY.GDP.MKTP.CD,16032813503.37069,17725010532.52676,19697516284.37868,18820218690.594765
Burundi,BDI,NY.GDP.MKTP.CD,2576518879.823531,2649680261.442985,2775798697.460224,3338722827.656905
Cabo Verde,CPV,NY.GDP.MKTP.CD,2252177124.324024,1821565613.6861308,2051842618.7053905,2247003344.3424206
Cambodia,KHM,NY.GDP.MKTP.CD,36685356407.72062,34818073901.485085,36790163687.442055,39994532959.60738
Cameroon,CMR,NY.GDP.MKTP.CD,39667757527.65778,40773241177.05051,45011937346.83839,44347206072.55133
Canada,CAN,NY.GDP.MKTP.CD,1743725183672.5212,1655684730000.1936,2022378748423.2344,2190411080134.319
Cayman Islands,CYM,NY.GDP.MKTP.CD,5941896607.586431,5655358021.432086,6060026520.10608,6600843963.375854
Central African Republic,CAF,NY.GDP.MKTP.CD,2221301351.439182,2326720900.380474,2516498412.463837,2382618615.016939
Chad,TCD,NY.GDP.MKTP.CD,14905517742.845362,14932897821.238722,16871937697.585442,17828508289.604942
Channel Islands,CHI,NY.GDP.MKTP.CD,10032440898.646923,9439810769.230768,11157003025.718609,11308300382.102798
Chile,CHL,NY.GDP.MKTP.CD,278285058719.4661,254042159309.31052,315325547162.07153,301226575540.2417
China,CHN,NY.GDP.MKTP.CD,14560167101283.44,14996414166715.092,18201698719563.96,18316765021690.16
Colombia,COL,NY.GDP.MKTP.CD,323031701192.84,270348342541.4654,318524633225.39514,345632492851.4475
Comoros,COM,NY.GDP.MKTP.CD,1195019531.03664,1225039195.9374163,1299039311.7602544,1279542248.4501672
"Congo, Dem. Rep.",COD,NY.GDP.MKTP.CD,51775829877.20882,48716961860.13249,55328482783.53935,65801547755.655205
"Congo, Rep.",COG,NY.GDP.MKTP.CD,13976637779.976324,11468687464.00462,14825690210.915745,15817030156.945892
Costa Rica,CRI,NY.GDP.MKTP.CD,64417670521.3339,62395610759.97983,64960725734.23617,69243626028.66977
Cote d'Ivoire,CIV,NY.GDP.MKTP.CD,60382894697.35568,63027852805.42045,72794636649.43422,70922824824.00694
Croatia,HRV,NY.GDP.MKTP.CD,61467582193.682434,57963370885.07977,69006802298.6956,71198635101.95143
Cuba,CUB,NY.GDP.MKTP.CD,103427600000.0,107351800000.0,,
Curacao,CUW,NY.GDP.MKTP.CD,3026124115.7327485,2534327592.49914,2739594359.590799,3075180834.724168
Cyprus,CYP,NY.GDP.MKTP.CD,26196667099.53027,25555093854.29683,30372642502.48967,30935566076.67877
Czechia,CZE,NY.GDP.MKTP.CD,256794209028.76956,251109660602.53552,290972714482.31274,301831228325.55554
Denmark,DNK,NY.GDP.MKTP.CD,345401473012.6152,355631021931.62103,408378204639.99896,401945576107.9633
Djibouti,DJI,NY.GDP.MKTP.CD,3088851450.306941,3144136196.6227965,3392796953.0893927,3562814908.7614856
Dominica,DMA,NY.GDP.MKTP.CD,644259259.2592592,528944444.4444444,562911111.111111,623062962.9629629
Dominican Republic,DOM,NY.GDP.MKTP.CD,89146130744.72299,78546672406.82909,94850719516.71268,113478087134.79988
Ecuador,ECU,NY.GDP.MKTP.CD,107595830000.0,95865473000.0,107179074000.0,116133121000.0
"Egypt, Arab Rep.",EGY,NY.GDP.MKTP.CD,318678815489.74945,383817841547.0992,424671765455.7043,476747720364.7416
El Salvador,SLV,NY.GDP.MKTP.CD,26881140000.0,24921190000.0,29043140000.0,31870120000.0
Equatorial Guinea,GNQ,NY.GDP.MKTP.CD,11364133549.747766,9893816007.7398,12215878032.716583,13687643435.624905
Eritrea,ERI,NY.GDP.MKTP.CD,,,,
Estonia,EST,NY.GDP.MKTP.CD,31873748770.03132,31820771493.89737,37204563051.47227,38376046174.97097
Eswatini,SWZ,NY.GDP.MKTP.CD,4616996144.90635,4120621324.890154,4785708165.930313,4741163884.952297
Ethiopia,ETH,NY.GDP.MKTP.CD,95912620248.05916,107657732424.1554,111261888668.86388,126772707851.3395
Faroe Islands,FRO,NY.GDP.MKTP.CD,3266432734.22819,3271813311.5831,3664686796.626687,3566698397.660197
Fiji,FJI,NY.GDP.MKTP.CD,5444407198.134784,4432466219.876845,4305031649.741891,4969503549.320957
Finland,FIN,NY.GDP.MKTP.CD,267014821129.41132,270000311606.22644,294223210496.1193,280253099309.3396
France,FRA,NY.GDP.MKTP.CD,2722793515171.7603,2647926055110.0464,2966433692008.092,2796302210398.844
French Polynesia,PYF,NY.GDP.MKTP.CD,6022276196.13871,5574821989.382394,6150640646.383186,5814661208.905444
Gabon,GAB,NY.GDP.MKTP.CD,16874405465.39104,15342236163.994291,19444935097.23335,20440655695.22902
