spei_iso3,spei,spei_date,year,month
SAU,0.42364115,2019-01-16,2019,1
SEN,-0.9770819,2019-01-16,2019,1
SIA,1.858379,2019-01-16,2019,1
SLE,-0.36724487,2019-01-16,2019,1
SVK,-0.36569637,2019-01-16,2019,1
SVN,-1.119756,2019-01-16,2019,1
SLB,0.07206629,2019-01-16,2019,1
SOM,0.18665783,2019-01-16,2019,1
SOL,-0.18083224,2019-01-16,2019,1
ZAF,-1.810701,2019-01-16,2019,1
SGS,-1.8647346,2019-01-16,2019,1
KOR,-0.64104307,2019-01-16,2019,1
SSD,-0.4472534,2019-01-16,2019,1
ESP,-0.44695657,2019-01-16,2019,1
LKA,-0.91295534,2019-01-16,2019,1
SDN,-0.71291333,2019-01-16,2019,1
SUR,-0.826028,2019-01-16,2019,1
SWE,-0.1838066,2019-01-16,2019,1
CHE,0.06787978,2019-01-16,2019,1
SYR,1.2708364,2019-01-16,2019,1
TWN,0.2390584,2019-01-16,2019,1
TJK,0.6749116,2019-01-16,2019,1
THA,0.1550091,2019-01-16,2019,1
BHS,-0.32459232,2019-01-16,2019,1
TGO,-1.535069,2019-01-16,2019,1
TTO,-2.416236,2019-01-16,2019,1
TUN,-0.8502675,2019-01-16,2019,1
TUR,1.3380558,2019-01-16,2019,1
TKM,0.22854963,2019-01-16,2019,1
UGA,0.29417518,2019-01-16,2019,1
UKR,0.8572409,2019-01-16,2019,1
ARE,0.013769458,2019-01-16,2019,1
GBR,-0.5689841,2019-01-16,2019,1
TZA,0.07342777,2019-01-16,2019,1
VIR,-0.19498008,2019-01-16,2019,1
USA,0.6899689,2019-01-16,2019,1
URY,2.219555,2019-01-16,2019,1
UZB,0.46338657,2019-01-16,2019,1
VUT,-0.021929296,2019-01-16,2019,1
VEN,-0.62917995,2019-01-16,2019,1
VNM,0.24423957,2019-01-16,2019,1
ESH,-0.37241307,2019-01-16,2019,1
YEM,-1.061428,2019-01-16,2019,1
ZMB,0.20863771,2019-01-16,2019,1
ZWE,0.1553532,2019-01-16,2019,1
SWZ,-1.9552495,2019-01-16,2019,1
AFG,0.16538179,2019-02-15,2019,2
ALA,0.28004837,2019-02-15,2019,2
ALB,-0.47016254,2019-02-15,2019,2
DZA,-1.2537508,2019-02-15,2019,2
AGO,0.07559092,2019-02-15,2019,2
ARG,-0.14190923,2019-02-15,2019,2
ARM,1.6398523,2019-02-15,2019,2
AUS,-1.048422,2019-02-15,2019,2
AUT,0.5178075,2019-02-15,2019,2
AZE,0.74617064,2019-02-15,2019,2
BGD,1.1792088,2019-02-15,2019,2
BLR,0.2755166,2019-02-15,2019,2
BEL,0.011934126,2019-02-15,2019,2
BLZ,-0.7078858,2019-02-15,2019,2
BEN,-0.6726852,2019-02-15,2019,2
BTN,0.9822577,2019-02-15,2019,2
BOL,-0.45051655,2019-02-15,2019,2
BIH,-1.0426068,2019-02-15,2019,2
BWA,-0.32629177,2019-02-15,2019,2
BRA,-0.30097842,2019-02-15,2019,2
BRN,-0.9942771,2019-02-15,2019,2
BGR,-0.30531394,2019-02-15,2019,2
BFA,-0.89592314,2019-02-15,2019,2
BDI,-0.036204435,2019-02-15,2019,2
CPV,-0.50758356,2019-02-15,2019,2
KHM,-0.33121607,2019-02-15,2019,2
CMR,0.12727046,2019-02-15,2019,2
CAN,0.32862702,2019-02-15,2019,2
CAF,-0.79600614,2019-02-15,2019,2
TCD,-1.1018106,2019-02-15,2019,2
CHL,-0.6254133,2019-02-15,2019,2
CHN,0.18078808,2019-02-15,2019,2
COL,-1.0076214,2019-02-15,2019,2
COM,-0.8755826,2019-02-15,2019,2
CRI,-0.5823756,2019-02-15,2019,2
HRV,-1.2906017,2019-02-15,2019,2
CUB,-0.18816328,2019-02-15,2019,2
CYP,1.5948972,2019-02-15,2019,2
CZE,0.1154935,2019-02-15,2019,2
COD,0.095151186,2019-02-15,2019,2
DNK,0.02804983,2019-02-15,2019,2
DJI,-0.9962245,2019-02-15,2019,2
DOM,-0.75978637,2019-02-15,2019,2
TLS,-2.233224,2019-02-15,2019,2
ECU,0.5172599,2019-02-15,2019,2
EGY,-0.23068024,2019-02-15,2019,2
SLV,-1.1076462,2019-02-15,2019,2
GNQ,-0.52142924,2019-02-15,2019,2
ERI,-0.79744947,2019-02-15,2019,2
EST,0.5443364,2019-02-15,2019,2
ETH,-0.7854059,2019-02-15,2019,2
FLK,-0.41971844,2019-02-15,2019,2
FRO,-0.14996319,2019-02-15,2019,2
FJI,-0.87695754,2019-02-15,2019,2
FIN,0.78088164,2019-02-15,2019,2
FRA,-0.9086028,2019-02-15,2019,2
PYF,0.09583926,2019-02-15,2019,2
ATF,1.193893,2019-02-15,2019,2
GAB,0.17160751,2019-02-15,2019,2
GMB,-1.2544765,2019-02-15,2019,2
GEO,0.30207598,2019-02-15,2019,2
DEU,0.17633824,2019-02-15,2019,2
GHA,-0.8538937,2019-02-15,2019,2
GRC,0.29170033,2019-02-15,2019,2
GRL,0.46528652,2019-02-15,2019,2
GTM,-0.652537,2019-02-15,2019,2
GIN,-0.56920105,2019-02-15,2019,2
GNB,-1.0288124,2019-02-15,2019,2
GUY,-1.2697829,2019-02-15,2019,2
HTI,-1.48192,2019-02-15,2019,2
HND,-0.71620417,2019-02-15,2019,2
HUN,-0.82422334,2019-02-15,2019,2
ISL,0.85344106,2019-02-15,2019,2
IND,0.34374827,2019-02-15,2019,2
IDN,-0.25214997,2019-02-15,2019,2
IRN,-0.042322237,2019-02-15,2019,2
IRQ,-0.15673073,2019-02-15,2019,2
IRL,-0.24225731,2019-02-15,2019,2
ISR,0.8548709,2019-02-15,2019,2
ITA,-1.0528588,2019-02-15,2019,2
CIV,-0.5452693,2019-02-15,2019,2
JAM,-0.3825291,2019-02-15,2019,2
JPN,-0.95954806,2019-02-15,2019,2
JOR,0.9828677,2019-02-15,2019,2
KAZ,-0.35631996,2019-02-15,2019,2
KEN,0.7116749,2019-02-15,2019,2
XKX,-0.60296124,2019-02-15,2019,2
KWT,-1.4055976,2019-02-15,2019,2
KGZ,0.014502076,2019-02-15,2019,2
LAO,1.1662098,2019-02-15,2019,2
LVA,0.6913871,2019-02-15,2019,2
LBN,1.4308003,2019-02-15,2019,2
LSO,-1.2474147,2019-02-15,2019,2
LBR,-0.10442618,2019-02-15,2019,2
LBY,0.25736454,2019-02-15,2019,2
LTU,0.6251632,2019-02-15,2019,2
LUX,0.47539997,2019-02-15,2019,2
MDG,-0.43492642,2019-02-15,2019,2
MWI,1.293936,2019-02-15,2019,2
MYS,-0.52937025,2019-02-15,2019,2
MLI,-0.47670943,2019-02-15,2019,2
MRT,-0.71726805,2019-02-15,2019,2
MUS,0.39701328,2019-02-15,2019,2
MEX,-0.1330123,2019-02-15,2019,2
MDA,0.24807729,2019-02-15,2019,2
MNG,-0.10573241,2019-02-15,2019,2
MNE,-0.53649086,2019-02-15,2019,2
MAR,-1.7679129,2019-02-15,2019,2
MOZ,0.2528111,2019-02-15,2019,2
MMR,0.86202306,2019-02-15,2019,2
NAM,-0.17457917,2019-02-15,2019,2
NPL,0.98483473,2019-02-15,2019,2
NLD,-0.02963626,2019-02-15,2019,2
NCL,0.15284759,2019-02-15,2019,2
NZL,-0.9886212,2019-02-15,2019,2
NIC,-1.4170235,2019-02-15,2019,2
NER,0.06624038,2019-02-15,2019,2
NGA,0.23790705,2019-02-15,2019,2
PRK,-1.6061883,2019-02-15,2019,2
MKD,-0.59783304,2019-02-15,2019,2
NOR,0.59936374,2019-02-15,2019,2
OMN,-1.2750005,2019-02-15,2019,2
PAK,0.15565403,2019-02-15,2019,2
PSE,0.815114,2019-02-15,2019,2
PAN,-0.80582446,2019-02-15,2019,2
PNG,-0.08012621,2019-02-15,2019,2
PRY,-0.827476,2019-02-15,2019,2
PER,0.30161572,2019-02-15,2019,2
PHL,-0.059102524,2019-02-15,2019,2
POL,0.3337282,2019-02-15,2019,2
PRT,-1.6788759,2019-02-15,2019,2
PRI,-0.5648288,2019-02-15,2019,2
QAT,-0.5994165,2019-02-15,2019,2
SRB,-0.56071955,2019-02-15,2019,2
COG,0.6061161,2019-02-15,2019,2
ROU,0.35160893,2019-02-15,2019,2
RUS,0.27609426,2019-02-15,2019,2
RWA,-0.37216562,2019-02-15,2019,2
VCT,-1.8715507,2019-02-15,2019,2
WSM,1.0100273,2019-02-15,2019,2
SAU,0.084443495,2019-02-15,2019,2
SEN,-0.99121755,2019-02-15,2019,2
SIA,1.3846908,2019-02-15,2019,2
SLE,-0.20552367,2019-02-15,2019,2
SVK,-0.43772846,2019-02-15,2019,2
SVN,-1.1532017,2019-02-15,2019,2
SLB,0.042715006,2019-02-15,2019,2
SOM,-0.66349924,2019-02-15,2019,2
SOL,-0.5381979,2019-02-15,2019,2
ZAF,-1.2204827,2019-02-15,2019,2
SGS,-2.0876002,2019-02-15,2019,2
KOR,-0.85170496,2019-02-15,2019,2
SSD,-0.8052595,2019-02-15,2019,2
ESP,-1.8005579,2019-02-15,2019,2
LKA,-0.5825312,2019-02-15,2019,2
SDN,-0.82791054,2019-02-15,2019,2
SUR,-1.2484992,2019-02-15,2019,2
SWE,0.5225956,2019-02-15,2019,2
CHE,0.36724076,2019-02-15,2019,2
SYR,1.1747768,2019-02-15,2019,2
TWN,-0.20247367,2019-02-15,2019,2
TJK,-0.18633519,2019-02-15,2019,2
THA,0.7094658,2019-02-15,2019,2
BHS,0.45336178,2019-02-15,2019,2
TGO,-0.93800735,2019-02-15,2019,2
TTO,-2.2321162,2019-02-15,2019,2
TUN,-0.6264791,2019-02-15,2019,2
TUR,1.3766396,2019-02-15,2019,2
TKM,0.5402765,2019-02-15,2019,2
UGA,0.8021758,2019-02-15,2019,2
UKR,0.668312,2019-02-15,2019,2
ARE,-0.017916514,2019-02-15,2019,2
GBR,-0.94612706,2019-02-15,2019,2
TZA,-0.021003693,2019-02-15,2019,2
VIR,-0.6187411,2019-02-15,2019,2
USA,1.0032333,2019-02-15,2019,2
URY,1.6878042,2019-02-15,2019,2
UZB,0.09837133,2019-02-15,2019,2
VUT,0.09805446,2019-02-15,2019,2
VEN,-0.6378819,2019-02-15,2019,2
VNM,0.6123382,2019-02-15,2019,2
ESH,-0.88618124,2019-02-15,2019,2
YEM,-1.0053806,2019-02-15,2019,2
ZMB,0.16444872,2019-02-15,2019,2
ZWE,0.13480398,2019-02-15,2019,2
SWZ,-0.9924674,2019-02-15,2019,2
AFG,0.7164733,2019-03-16,2019,3
ALA,1.1596091,2019-03-16,2019,3
ALB,-0.6255829,2019-03-16,2019,3
DZA,-0.5180652,2019-03-16,2019,3
AGO,0.076445304,2019-03-16,2019,3
ARG,0.1667355,2019-03-16,2019,3
ARM,0.771645,2019-03-16,2019,3
AUS,-0.8929997,2019-03-16,2019,3
AUT,-0.28448966,2019-03-16,2019,3
AZE,0.34052488,2019-03-16,2019,3
BGD,1.0899463,2019-03-16,2019,3
BLR,-0.6118637,2019-03-16,2019,3
BEL,-0.04304186,2019-03-16,2019,3
BLZ,-0.864034,2019-03-16,2019,3
BEN,-0.5639366,2019-03-16,2019,3
BTN,0.365998,2019-03-16,2019,3
BOL,-0.8231644,2019-03-16,2019,3
BIH,-1.3798658,2019-03-16,2019,3
BWA,-0.47903395,2019-03-16,2019,3
BRA,-0.34667435,2019-03-16,2019,3
BRN,-1.4311981,2019-03-16,2019,3
BGR,-1.1767316,2019-03-16,2019,3
BFA,-0.20680636,2019-03-16,2019,3
BDI,-1.7624912,2019-03-16,2019,3
CPV,0.26026055,2019-03-16,2019,3
KHM,-0.15672389,2019-03-16,2019,3
CMR,0.1528231,2019-03-16,2019,3
CAN,-0.074866906,2019-03-16,2019,3
CAF,-0.4714316,2019-03-16,2019,3
TCD,-1.1500866,2019-03-16,2019,3
CHL,-0.17724389,2019-03-16,2019,3
CHN,-0.6264081,2019-03-16,2019,3
COL,-0.3220051,2019-03-16,2019,3
COM,-1.9016781,2019-03-16,2019,3
CRI,-0.17386988,2019-03-16,2019,3
HRV,-1.3726158,2019-03-16,2019,3
CUB,0.08285605,2019-03-16,2019,3
CYP,1.2688282,2019-03-16,2019,3
CZE,-0.9569414,2019-03-16,2019,3
COD,-0.17670408,2019-03-16,2019,3
DNK,0.9920071,2019-03-16,2019,3
DJI,-0.7716484,2019-03-16,2019,3
DOM,-0.70591426,2019-03-16,2019,3
TLS,-2.1198945,2019-03-16,2019,3
ECU,0.73207134,2019-03-16,2019,3
EGY,-0.07987475,2019-03-16,2019,3
SLV,-0.97784334,2019-03-16,2019,3
GNQ,0.37692326,2019-03-16,2019,3
ERI,-0.8974956,2019-03-16,2019,3
EST,1.4263796,2019-03-16,2019,3
ETH,-0.62635434,2019-03-16,2019,3
FLK,0.61734265,2019-03-16,2019,3
FRO,0.048404835,2019-03-16,2019,3
FJI,-0.5398555,2019-03-16,2019,3
FIN,1.5658314,2019-03-16,2019,3
FRA,-1.4240361,2019-03-16,2019,3
PYF,0.7244219,2019-03-16,2019,3
ATF,1.8758461,2019-03-16,2019,3
GAB,0.17446771,2019-03-16,2019,3
GMB,-0.33259964,2019-03-16,2019,3
GEO,0.09197848,2019-03-16,2019,3
DEU,-0.23375395,2019-03-16,2019,3
GHA,-0.20543222,2019-03-16,2019,3
GRC,-0.023193186,2019-03-16,2019,3
GRL,0.34193188,2019-03-16,2019,3
GTM,-1.1343383,2019-03-16,2019,3
GIN,0.53872275,2019-03-16,2019,3
GNB,-0.433097,2019-03-16,2019,3
GUY,-1.3501827,2019-03-16,2019,3
HTI,-1.3521142,2019-03-16,2019,3
HND,-0.39124647,2019-03-16,2019,3
HUN,-1.5986915,2019-03-16,2019,3
ISL,0.9568302,2019-03-16,2019,3
IND,-0.039683968,2019-03-16,2019,3
IDN,-0.4389686,2019-03-16,2019,3
IRN,0.7797846,2019-03-16,2019,3
IRQ,0.22494309,2019-03-16,2019,3
IRL,0.04194855,2019-03-16,2019,3
ISR,0.72451866,2019-03-16,2019,3
ITA,-1.1487827,2019-03-16,2019,3
CIV,-0.14479698,2019-03-16,2019,3
JAM,-0.06444986,2019-03-16,2019,3
JPN,-1.4229342,2019-03-16,2019,3
JOR,1.0299802,2019-03-16,2019,3
KAZ,-0.7536264,2019-03-16,2019,3
KEN,0.9780663,2019-03-16,2019,3
XKX,-1.2681562,2019-03-16,2019,3
KWT,-0.7300821,2019-03-16,2019,3
KGZ,-0.5034579,2019-03-16,2019,3
LAO,-0.3104166,2019-03-16,2019,3
LVA,1.0848883,2019-03-16,2019,3
LBN,1.2495143,2019-03-16,2019,3
LSO,-0.5929006,2019-03-16,2019,3
LBR,-0.1633273,2019-03-16,2019,3
LBY,0.28246558,2019-03-16,2019,3
LTU,0.29911274,2019-03-16,2019,3
LUX,0.018899245,2019-03-16,2019,3
MDG,0.27526978,2019-03-16,2019,3
MWI,1.3802443,2019-03-16,2019,3
MYS,-1.2588993,2019-03-16,2019,3
MLI,-0.034489404,2019-03-16,2019,3
MRT,-0.21682292,2019-03-16,2019,3
MUS,-0.5717622,2019-03-16,2019,3
MEX,-0.23289314,2019-03-16,2019,3
MDA,-1.0045575,2019-03-16,2019,3
MNG,-1.357212,2019-03-16,2019,3
MNE,-1.0234196,2019-03-16,2019,3
MAR,-1.4043089,2019-03-16,2019,3
MOZ,0.4609419,2019-03-16,2019,3
MMR,0.20066267,2019-03-16,2019,3
NAM,-0.124262266,2019-03-16,2019,3
NPL,0.77887774,2019-03-16,2019,3
NLD,0.3848436,2019-03-16,2019,3
NCL,-0.35668468,2019-03-16,2019,3
NZL,-0.2718719,2019-03-16,2019,3
NIC,-0.9117751,2019-03-16,2019,3
NER,-0.27368075,2019-03-16,2019,3
NGA,-0.37537774,2019-03-16,2019,3
PRK,-1.870666,2019-03-16,2019,3
MKD,-1.1573206,2019-03-16,2019,3
NOR,0.9556221,2019-03-16,2019,3
OMN,-1.192142,2019-03-16,2019,3
PAK,1.1450487,2019-03-16,2019,3
PSE,0.7713537,2019-03-16,2019,3
PAN,-0.6725188,2019-03-16,2019,3
PNG,0.24022289,2019-03-16,2019,3
PRY,0.5913198,2019-03-16,2019,3
PER,0.18557903,2019-03-16,2019,3
PHL,-0.8374859,2019-03-16,2019,3
POL,-0.5131874,2019-03-16,2019,3
PRT,-1.6203494,2019-03-16,2019,3
PRI,-0.6742499,2019-03-16,2019,3
