iso_o,iso_d,distw
ABW,WLF,12055.93
ABW,WSM,11605.08
ABW,YEM,12205.73
ABW,YUG,9097.525
ABW,ZAF,11325.09
ABW,ZAR,10139.77
ABW,ZMB,11237.0
ABW,ZWE,11528.01
AFG,ABW,13168.22
AFG,AFG,269.5433
AFG,AGO,7573.253
AFG,AIA,12205.45
AFG,ALB,4250.738
AFG,AND,5712.403
AFG,ANT,13004.56
AFG,ARE,1657.193
AFG,ARG,15341.16
AFG,ARM,2171.302
AFG,ATG,12214.32
AFG,AUS,11086.14
AFG,AUT,4567.302
AFG,AZE,1821.719
AFG,BDI,5849.067
AFG,BEL,5331.892
AFG,BEN,7330.657
AFG,BFA,7464.21
AFG,BGD,2488.676
AFG,BGR,3819.043
AFG,BHR,1940.47
AFG,BHS,12427.12
AFG,BIH,4374.743
AFG,BLR,3766.027
AFG,BLZ,13714.66
AFG,BMU,11089.69
AFG,BOL,15100.65
AFG,BRA,13223.75
AFG,BRB,12371.21
AFG,BRN,5823.199
AFG,BTN,2231.291
AFG,BWA,7847.092
AFG,CAF,6083.534
AFG,CAN,10516.29
AFG,CCK,
AFG,CHE,5136.085
AFG,CHL,16262.29
AFG,CHN,4434.382
AFG,CIV,8067.372
AFG,CMR,6632.051
AFG,COG,7110.932
AFG,COK,15114.23
AFG,COL,14072.28
AFG,COM,5802.082
AFG,CPV,9225.148
AFG,CRI,14260.46
AFG,CUB,12859.24
AFG,CXR,
AFG,CYM,13208.93
AFG,CYP,3172.299
AFG,CZE,4543.171
AFG,DEU,4945.52
AFG,DJI,3621.295
AFG,DMA,12318.91
AFG,DNK,4854.474
AFG,DOM,12623.33
AFG,DZA,5776.018
AFG,ECU,15033.63
AFG,EGY,3509.174
AFG,ERI,3625.781
AFG,ESH,7659.554
AFG,ESP,6147.663
AFG,EST,4112.194
AFG,ETH,4114.436
AFG,FIN,4243.341
AFG,FJI,12941.15
AFG,FLK,15386.37
AFG,FRA,5500.665
AFG,FRO,5888.947
AFG,FSM,9075.824
AFG,GAB,7167.723
AFG,GBR,5694.557
AFG,GEO,2272.456
AFG,GHA,7685.409
AFG,GIB,6499.797
AFG,GIN,8573.144
AFG,GLP,12261.62
AFG,GMB,8679.354
AFG,GNB,8695.24
AFG,GNQ,7024.81
AFG,GRC,3981.455
AFG,GRD,12605.84
AFG,GRL,7655.879
AFG,GTM,14094.45
AFG,GUF,12447.9
AFG,GUY,12765.91
AFG,HKG,4656.974
AFG,HND,13928.31
AFG,HRV,4501.398
AFG,HTI,12769.69
AFG,HUN,4265.953
AFG,IDN,6105.471
AFG,IND,1741.23
AFG,IRL,6052.054
AFG,IRN,1553.816
AFG,IRQ,2173.033
AFG,ISL,6564.804
AFG,ISR,3097.465
AFG,ITA,4878.286
AFG,JAM,13097.57
AFG,JOR,3009.075
AFG,JPN,6169.582
AFG,KAZ,1647.539
AFG,KEN,5167.671
AFG,KGZ,996.819
AFG,KHM,4470.222
AFG,KIR,11393.98
AFG,KNA,11910.0
AFG,KOR,5275.912
AFG,KWT,2001.407
AFG,LAO,3977.166
AFG,LBN,2992.419
AFG,LBR,8569.939
AFG,LBY,4813.555
AFG,LCA,12404.06
AFG,LKA,3277.398
AFG,LSO,8310.68
AFG,LTU,4068.193
AFG,LUX,5224.884
AFG,LVA,4098.595
AFG,MAC,
AFG,MAR,6734.633
AFG,MDA,3544.931
AFG,MDG,6386.711
AFG,MDV,3505.541
AFG,MEX,13588.67
AFG,MHL,10594.76
AFG,MKD,4105.128
AFG,MLI,7857.143
AFG,MLT,4819.005
AFG,MMR,3339.196
AFG,MNG,3424.311
AFG,MNP,7937.97
AFG,MOZ,7120.937
AFG,MRT,8257.594
AFG,MSR,
AFG,MTQ,12354.1
AFG,MUS,6225.654
AFG,MWI,6533.963
AFG,MYS,5078.32
AFG,NAM,8304.847
AFG,NCL,12087.35
AFG,NER,6687.471
AFG,NFK,12637.61
AFG,NGA,7004.981
AFG,NIC,14136.32
AFG,NIU,14092.16
AFG,NLD,5264.187
AFG,NOR,5018.427
AFG,NPL,1774.077
AFG,NRU,10847.9
AFG,NZL,13647.26
AFG,OMN,1681.851
AFG,PAK,805.9722
AFG,PAL,3123.031
AFG,PAN,14141.72
AFG,PCN,
AFG,PER,15599.55
