country,date,spei
Tajikistan,2019-01-16,0.6749116
Thailand,2019-01-16,0.1550091
The Bahamas,2019-01-16,-0.32459232
Togo,2019-01-16,-1.535069
Trinidad and Tobago,2019-01-16,-2.416236
Tunisia,2019-01-16,-0.8502675
Turkey,2019-01-16,1.3380558
Turkmenistan,2019-01-16,0.22854963
Uganda,2019-01-16,0.29417518
Ukraine,2019-01-16,0.8572409
United Arab Emirates,2019-01-16,0.013769458
United Kingdom,2019-01-16,-0.5689841
United Republic of Tanzania,2019-01-16,0.07342777
United States Virgin Islands,2019-01-16,-0.19498008
United States of America,2019-01-16,0.6899689
Uruguay,2019-01-16,2.219555
Uzbekistan,2019-01-16,0.46338657
Vanuatu,2019-01-16,-0.021929296
Venezuela,2019-01-16,-0.62917995
Vietnam,2019-01-16,0.24423957
Western Sahara,2019-01-16,-0.37241307
Yemen,2019-01-16,-1.061428
Zambia,2019-01-16,0.20863771
Zimbabwe,2019-01-16,0.1553532
eSwatini,2019-01-16,-1.9552495
Afghanistan,2019-02-15,0.16538179
Aland,2019-02-15,0.28004837
Albania,2019-02-15,-0.47016254
Algeria,2019-02-15,-1.2537508
Angola,2019-02-15,0.07559092
Antarctica,2019-02-15,
Argentina,2019-02-15,-0.14190923
Armenia,2019-02-15,1.6398523
Australia,2019-02-15,-1.048422
Austria,2019-02-15,0.5178075
Azerbaijan,2019-02-15,0.74617064
Bangladesh,2019-02-15,1.1792088
Belarus,2019-02-15,0.2755166
Belgium,2019-02-15,0.011934126
Belize,2019-02-15,-0.7078858
Benin,2019-02-15,-0.6726852
Bhutan,2019-02-15,0.9822577
Bolivia,2019-02-15,-0.45051655
Bosnia and Herzegovina,2019-02-15,-1.0426068
Botswana,2019-02-15,-0.32629177
Brazil,2019-02-15,-0.30097842
Brunei,2019-02-15,-0.9942771
Bulgaria,2019-02-15,-0.30531394
Burkina Faso,2019-02-15,-0.89592314
Burundi,2019-02-15,-0.036204435
Cabo Verde,2019-02-15,-0.50758356
Cambodia,2019-02-15,-0.33121607
Cameroon,2019-02-15,0.12727046
Canada,2019-02-15,0.32862702
Cayman Islands,2019-02-15,
Central African Republic,2019-02-15,-0.79600614
Chad,2019-02-15,-1.1018106
Chile,2019-02-15,-0.6254133
China,2019-02-15,0.18078808
Colombia,2019-02-15,-1.0076214
Comoros,2019-02-15,-0.8755826
Costa Rica,2019-02-15,-0.5823756
Croatia,2019-02-15,-1.2906017
Cuba,2019-02-15,-0.18816328
Cyprus,2019-02-15,1.5948972
Czechia,2019-02-15,0.1154935
Democratic Republic of the Congo,2019-02-15,0.095151186
Denmark,2019-02-15,0.02804983
Djibouti,2019-02-15,-0.9962245
Dominican Republic,2019-02-15,-0.75978637
East Timor,2019-02-15,-2.233224
Ecuador,2019-02-15,0.5172599
Egypt,2019-02-15,-0.23068024
El Salvador,2019-02-15,-1.1076462
Equatorial Guinea,2019-02-15,-0.52142924
Eritrea,2019-02-15,-0.79744947
Estonia,2019-02-15,0.5443364
Ethiopia,2019-02-15,-0.7854059
Falkland Islands,2019-02-15,-0.41971844
Faroe Islands,2019-02-15,-0.14996319
Fiji,2019-02-15,-0.87695754
Finland,2019-02-15,0.78088164
France,2019-02-15,-0.9086028
French Polynesia,2019-02-15,0.09583926
French Southern and Antarctic Lands,2019-02-15,1.193893
Gabon,2019-02-15,0.17160751
Gambia,2019-02-15,-1.2544765
Georgia,2019-02-15,0.30207598
Germany,2019-02-15,0.17633824
Ghana,2019-02-15,-0.8538937
Greece,2019-02-15,0.29170033
Greenland,2019-02-15,0.46528652
Guatemala,2019-02-15,-0.652537
Guinea,2019-02-15,-0.56920105
