iso3,year,gdp_pc,pop,urban,unemp,political_stability
BRN,2019,10.341359153547213,13.00060244037872,77.942,8.7,1.1110872030258179
BRN,2020,10.323071618357204,13.011217268543573,78.25,6.6,1.1880840063095093
BRN,2021,10.197438406792182,13.020820011595893,78.554,7.409,1.1718099117279053
BRN,2022,10.341967091210675,13.028865554289014,78.854,4.905,1.2424886226654053
BTN,2019,8.131590759522876,13.547401020980102,41.612,3.35,1.0654714107513428
BTN,2020,8.182246154967096,13.554153586007299,42.316,2.72,1.0134891271591187
BTN,2021,8.068299278380968,13.561188468344016,43.008,5.03,0.7972550988197327
BTN,2022,8.180492451036471,13.56822030752182,43.686,4.803,1.0093425512313843
BWA,2019,8.910310295940839,14.662272417585871,70.172,19.681,1.0953298807144165
BWA,2020,8.877952322767555,14.676666521164364,70.877,20.094,1.0131680965423584
BWA,2021,8.751996107097204,14.691579531806871,71.56,21.017,1.0414071083068848
BWA,2022,8.962889776683754,14.707464333994698,72.224,23.106,1.0739837884902954
CAF,2019,6.120833457365551,15.413827460567894,41.77,5.517,-2.1358754634857178
CAF,2020,6.107531594859889,15.430259939538697,42.198,5.607,-2.2362775802612305
CAF,2021,6.137465834861336,15.447120836663515,42.648,6.196,-2.1268529891967773
CAF,2022,6.1990134166661255,15.444366513947783,43.12,6.375,-2.205052375793457
CAN,2019,10.748049734874089,17.443006375720604,81.482,5.837,0.994933545589447
CAN,2020,10.744038475108562,17.453850065431926,81.562,5.69,1.013182282447815
CAN,2021,10.68138570790037,17.459389089655794,81.653,9.657,0.9623369574546814
CAN,2022,10.875906443090255,17.47742813540461,81.752,7.527,0.7806815505027771
CEB,2019,9.695552381829657,18.439151838092783,62.39255473656053,4.3036956278688185,
CEB,2020,9.71425309007815,18.43276506355774,62.52134192757112,3.770153481758424,
CEB,2021,9.716913081095967,18.422735950567684,62.65356713017175,4.361481611415455,
CEB,2022,9.86473729080928,18.421399195804014,62.83593159687202,4.4608355301794935,
CHE,2019,11.35296055531743,15.964394203544403,73.849,4.713,1.310975432395935
CHE,2020,11.340022585216989,15.971700965494877,73.915,4.394,1.1762402057647705
CHE,2021,11.360913314087094,15.979355975889842,73.996,4.817,1.1153756380081177
CHE,2022,11.447477449510572,15.987655247728846,74.092,5.013,1.1597453355789185
CHI,2019,11.01507122990079,12.017566000452195,30.931,6.571,
CHI,2020,11.011523768646208,12.021157728883619,30.963,6.408,
CHI,2021,10.94704404238695,12.024196989307782,31.012,6.863,
CHI,2022,11.111136222444276,12.027035688527436,31.077,6.875,
CHL,2019,9.658831818775822,16.770303330094343,87.643,7.623,-0.016121579334139824
CHL,2020,9.581608486265589,16.779268249629396,87.727,7.493,0.044044505804777145
CHL,2021,9.48149782209486,16.78368323054147,87.817,10.934,0.16142718493938446
CHL,2022,9.693188194608823,16.78864112645641,87.912,9.281,0.13208432495594025
CHN,2019,9.218870270223322,21.06525497032569,60.308,4.31,-0.2597806751728058
CHN,2020,9.24405566504204,21.06763537902799,61.428,4.56,-0.474127858877182
CHN,2021,9.271196853872109,21.068527901028403,62.512,5.0,-0.5164628624916077
CHN,2022,9.464008140867119,21.068396906014875,63.56,4.55,-0.4512767195701599
CIV,2019,7.664283839799412,17.154584597372704,51.239,2.85,-1.0364967584609985
CIV,2020,7.669387104030771,17.179886577726418,51.706,2.401,-1.0332196950912476
CIV,2021,7.6869559959331175,17.204626451469903,52.18,2.584,-0.7150156497955322
CIV,2022,7.806281665567322,17.229788744965255,52.661,2.63,-0.5872665047645569
CMR,2019,7.384421920918874,17.05442800117586,56.968,3.601,-1.5618232488632202
CMR,2020,7.349376540533087,17.081672864657097,57.56,3.622,-1.5136797428131104
CMR,2021,7.349618985029773,17.108222472315166,58.148,3.87,-1.3940887451171875
CMR,2022,7.421971093596724,17.134512981411294,58.733,3.973,-1.3796292543411255
COD,2019,6.269581052130049,18.347544751580905,45.046,4.618,
COD,2020,6.322644521050013,18.379754556504217,45.638,4.591,
COD,2021,6.229538542706739,18.41213364131382,46.235,5.345,
COD,2022,6.3244200309401695,18.444367660756317,46.837,5.28,
COG,2019,7.898943491691298,15.54124791719195,67.373,20.701,-0.299274206161499
COG,2020,7.819405125487231,15.565195686313627,67.829,20.392,-0.21304312348365784
COG,2021,7.597690643142918,15.589137115145471,68.283,22.198,-0.2294364720582962
COG,2022,7.830490222829693,15.613103645173902,68.736,21.96,0.038993820548057556
COK,2019,,,,,1.1243659257888794
COK,2020,,,,,1.153894305229187
COK,2021,,,,,1.1452631950378418
COK,2022,,,,,1.1647605895996094
COL,2019,8.827170104063562,17.725691567959988,81.104,9.36,-0.9794861078262329
